set_type,true,pred,residual
train,5.01,5.0102267,-0.00022672653198263504
train,5.03,5.029948,5.176544189477994e-05
train,5.06,5.059439,0.0005608177185054686
train,5.15,5.150283,-0.0002828598022457385
train,5.18,5.1796813,0.0003186988830563564
train,5.13,5.1300306,-3.063201904307533e-05
train,5.19,5.188909,0.0010909461975101564
train,5.16,5.1602526,-0.00025257110595688914
train,5.17,5.1697893,0.0002106857299803977
train,5.23,5.2298827,0.00011728286743206695
train,5.12,5.1202455,-0.00024545669555653404
train,5.17,5.169886,0.00011388778686516332
train,5.13,5.130458,-0.00045787811279307533
train,5.22,5.22,2.0980834936068504e-07
train,5.18,5.179873,0.00012701034545870016
train,5.15,5.150118,-0.00011787414550745723
train,5.24,5.239371,0.0006291770935060725
train,5.27,5.2687025,0.001297492980956605
train,5.1,5.100153,-0.00015296936035191777
train,5.07,5.069944,5.609512329129984e-05
train,5.11,5.110509,-0.0005089187622067115
train,5.12,5.119023,0.0009771537780762785
train,5.2,5.199917,8.316040039080264e-05
train,5.08,5.0801826,-0.00018255233764641332
train,5.04,5.0399985,1.4686584473011521e-06
train,5.05,5.049679,0.00032119750976544736
train,5.06,5.060578,-0.0005778694152835939
train,5.04,5.040188,-0.00018783569335933947
train,5.17,5.1697974,0.00020257949829094457
train,5.14,5.140277,-0.0002769088745120385
train,5.14,5.140035,-3.515243530305412e-05
train,5.14,5.1391015,0.0008984947204586646
train,5.11,5.1105657,-0.0005656623840328834
train,5.03,5.0307856,-0.0007855606079099076
train,5.01,5.010114,-0.00011419296264669754
train,5.01,5.0100527,-5.268096923849441e-05
train,5.05,5.0498466,0.00015335083007794736
train,5.07,5.068373,0.0016267967224123936
train,5.09,5.090157,-0.00015703201293959523
train,4.93,4.930375,-0.00037509918212919047
train,4.93,4.9299335,6.645202636690328e-05
train,4.95,4.950071,-7.085800170880674e-05
train,4.96,4.959747,0.0002531623840331676
train,4.47,4.47139,-0.0013897705078127487
train,4.58,4.5802436,-0.00024358749389641332
train,4.63,4.629939,6.092071533192467e-05
train,4.72,4.719366,0.0006339263916013138
train,4.69,4.6905947,-0.0005946731567378905
train,4.71,4.7103753,-0.00037530899047855115
train,4.69,4.689699,0.0003008270263675783
train,4.68,4.680533,-0.0005329322814944248
train,4.69,4.6899114,8.863449096718767e-05
train,4.73,4.7296314,0.0003685760498051138
train,4.73,4.7292843,0.0007157135009769888
train,4.73,4.7305756,-0.0005755615234370737
train,4.71,4.7102156,-0.00021556854248050428
train,4.72,4.719376,0.0006239128112790482
train,4.74,4.739622,0.00037788391113302566
train,4.72,4.720102,-0.00010183334350610806
train,4.69,4.6907616,-0.0007615661621089842
train,4.72,4.7198873,0.00011274337768529819
train,4.76,4.7601185,-0.00011848449707052566
train,4.77,4.7699513,4.865646362262055e-05
train,4.78,4.7796135,0.0003865051269533737
train,4.74,4.740184,-0.0001838302612302556
train,4.81,4.809651,0.0003491020202632811
train,4.8,4.800541,-0.0005409240722658026
train,4.92,4.919753,0.0002469253540038352
train,4.84,4.839919,8.090972900376414e-05
train,4.75,4.7513223,-0.0013222694396972656
train,4.76,4.7597756,0.0002243614196775212
train,4.77,4.7699842,1.5754699706604924e-05
train,4.78,4.779747,0.0002529907226564987
train,4.74,4.740198,-0.00019813537597634934
train,4.69,4.6900268,-2.6760101317968576e-05
train,4.67,4.670803,-0.0008030700683594461
train,4.69,4.689687,0.00031322479248085955
train,4.67,4.67089,-0.0008898544311524148
test,4.71,4.6874604,0.022539577484130824
test,4.73,4.6911817,0.0388183403015141
test,4.79,4.723884,0.06611589431762699
test,4.83,4.7652397,0.0647602844238282
test,4.86,4.765544,0.09445606231689485
test,4.8,4.7657156,0.03428440093994123
test,4.88,4.777012,0.10298812866210927
test,4.83,4.7614803,0.06851966857910163
test,4.9,4.7776446,0.12235536575317418
test,4.88,4.8040013,0.07599866867065419
test,4.85,4.776893,0.0731068611145016
test,4.88,4.7770143,0.10298574447631825
test,4.9,4.777305,0.12269487380981481
test,4.83,4.800822,0.029178218841552805
test,4.78,4.7745423,0.005457668304443608
test,4.78,4.773788,0.006212024688720952
test,4.86,4.774799,0.0852011299133304
test,4.93,4.9209847,0.00901525497436495
test,5.09,4.978605,0.11139520645141587
test,5.06,5.10377,-0.043769779205322656
