set_type,true,pred,residual
train,6.82,6.8202953,-0.0002953338623044033
train,6.69,6.6901546,-0.00015455245971640608
train,6.69,6.6902933,-0.00029331207275351545
train,6.69,6.690026,-2.5806427001562326e-05
train,6.67,6.6713796,-0.0013795661926270242
train,6.82,6.819555,0.00044519424438504984
train,6.9,6.899789,0.00021114349365269902
train,6.96,6.960094,-9.39750671387074e-05
train,6.99,6.9894,0.0006000900268556819
train,6.96,6.9603,-0.0002999687194824574
train,7.09,7.0899744,2.559661865220164e-05
train,7.05,7.050162,-0.00016183853149431826
train,7.08,7.079747,0.0002527999877930398
train,6.93,6.9302406,-0.00024063110351590922
train,6.89,6.889476,0.0005241775512692115
train,6.86,6.8610168,-0.0010167503356930396
train,6.88,6.87955,0.00045001983642567467
train,6.93,6.9298,0.00019996643066377828
train,6.87,6.871207,-0.0012072372436522372
train,6.85,6.8493986,0.000601387023925426
train,6.78,6.779994,5.98907470727994e-06
train,6.87,6.8695865,0.0004135322570801847
train,6.83,6.8311796,-0.0011796188354491477
train,6.8,6.79935,0.0006502151489256036
train,6.74,6.7407255,-0.0007255172729490056
train,6.78,6.779014,0.0009858894348147018
train,6.72,6.7206845,-0.0006845283508303268
train,6.73,6.7299585,4.1465759277770076e-05
train,6.75,6.7506094,-0.0006093978881835938
train,6.81,6.8094044,0.0005956268310542967
train,6.8,6.800161,-0.000160884857177912
train,6.87,6.869159,0.0008407783508301847
train,6.84,6.839939,6.088256835923289e-05
train,6.76,6.760522,-0.0005218887329103694
train,6.82,6.820127,-0.00012701034545870016
train,6.85,6.848818,0.0011821746826168322
train,6.83,6.8312116,-0.001211566925048757
train,6.87,6.8697433,0.0002566528320313566
train,6.88,6.8801327,-0.00013267517089854408
train,6.89,6.889873,0.00012697219848600838
train,6.8,6.8012667,-0.0012666702270509589
train,6.85,6.850083,-8.28742980960584e-05
train,6.89,6.889866,0.00013412475585905526
train,6.76,6.760389,-0.00038885116577169754
train,6.82,6.819545,0.00045520782470731547
train,6.8,6.800726,-0.0007259368896486151
train,6.75,6.7493434,0.0006566047668457031
train,6.8,6.800099,-9.889602661150576e-05
train,6.87,6.8699365,6.353378295909096e-05
train,6.96,6.959676,0.0003242111206054332
train,7.06,7.059861,0.00013881683349570295
train,7.05,7.050123,-0.00012321472167986514
train,7.14,7.1396804,0.0003196144104000709
train,7.05,7.0502095,-0.00020952224731463076
train,7.15,7.1489472,0.0010527610778812146
train,7.11,7.1104217,-0.00042165756225553963
train,7.24,7.2397246,0.0002753639221193538
train,7.21,7.2106605,-0.0006604576110840199
train,7.29,7.2886705,0.0013294601440430043
train,7.27,7.2698255,0.00017454147338824555
train,7.01,7.010009,-8.811950683806913e-06
train,6.98,6.980263,-0.0002632331848140268
train,7.11,7.108818,0.0011819458007815697
train,7.11,7.110106,-0.00010599136352507088
train,7.17,7.1700296,-2.9640197753977304e-05
train,7.16,7.160101,-0.00010093688964829539
train,7.23,7.2286577,0.001342277526855895
train,7.23,7.2306743,-0.0006742668151851205
train,7.27,7.2696652,0.00033475875854449555
train,7.16,7.1602287,-0.0002287292480467329
train,7.12,7.1201644,-0.0001643943786620028
train,7.13,7.1303115,-0.00031148910522471596
train,7.14,7.139062,0.000938072204589524
train,7.12,7.120197,-0.0001968193054198153
train,7.08,7.079961,3.9176940918039804e-05
train,7.05,7.0505195,-0.000519466400146662
train,7.06,7.0598836,0.00011640548706015608
train,7.05,7.0500894,-8.935928344744326e-05
test,7.04,7.0528603,-0.01286026000976559
test,7.07,7.0688686,0.0011313629150393467
test,7.11,7.0837393,0.026260719299316726
test,7.08,7.0824428,-0.002442760467529226
test,7.09,7.084891,0.005109157562255717
test,7.1,7.0846415,0.015358543395995738
test,7.08,7.078702,0.0012980270385742898
test,7.1,7.098657,0.0013428688049312854
test,7.12,7.115316,0.004684085845947372
test,7.11,7.109945,5.517959594758537e-05
test,7.09,7.08833,0.0016702079772947798
test,7.14,7.0829,0.057099952697753587
test,7.17,7.1819124,-0.011912422180175852
test,7.25,7.1804576,0.06954240798950195
test,7.3,7.1996555,0.10034446716308576
test,7.37,7.2647934,0.10520660400390636
test,7.52,7.271413,0.24858715057373004
test,7.63,7.271413,0.35858715057373036
test,7.67,7.271413,0.3985871505737304
test,7.72,7.2713985,0.4486014556884763
