ts_code_income,ann_date_income,f_ann_date_income,end_date,report_type_income,comp_type_income,end_type_income,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag_income,ts_code_balance,ann_date_balance,f_ann_date_balance,report_type_balance,comp_type_balance,end_type_balance,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag_balance,ts_code,ann_date,f_ann_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
601878.SH,20250430,20250430,20250331,1,4,1,0.12,0.12,2993854049.22,2993854049.22,616619475.08,,,904207877.55,523673983.54,15318353.84,,,,,691492838.31,124815106.33,68714196.71,1334110784.04,40922962.08,460032879.77,43802215.58,-1183020.67,2292345680.0,,369439717.15,,12927569.42,,934030422.65,,,,,,,,2292345680.0,,,,1318792430.2,701508369.22,21679.48,39532.12,,701490516.58,134600503.2,566890013.38,555582922.16,11307091.22,-102806476.08,464083537.3,453075934.92,11007602.38,,,,,,,,,,,,,,,,,,,,,,,566890013.38,1,601878.SH,20250430,20250430,1,4,1,4573796639.0,17116158572.22,9062993273.38,1362899559.42,,52696836854.42,40024660356.06,,,,,,,,,,8524080372.2,,,,,5952396496.48,,,,,5430518274.56,,,6065884745.48,,875928690.76,,,,,,246244113.6,,19845342.58,,473393201.8,,,,,,,392802049.85,,,,,10133160322.34,,,,45627036125.22,5382328129.76,,,171416601617.52,,564287251.69,,,970000000.0,522857304.38,,,,28788633501.71,,1309119092.11,531121891.01,,,,,,,,,31530250318.24,,,,,24409457418.68,,,,245972491.65,,,,,468444280.89,,,36515871808.76,,,,,,,,,,,,134428131878.58,405138429.06,3634473848.72,,,1342588771.89,35645880967.05,36988469738.94,171416601617.52,,300697503.37,,,24840653915.44,408134014.33,8128420146.41,,,,,,,208019897.9,,,,,,,,,11958777491.19,0,601878.SH,20250430,20250430,4,1,1,,,,,,,,,,,,1886798066.5,,,5649722700.0,11000508957.69,19604876875.27,,757698358.91,243214065.18,,,,324783391.12,,13953985892.73,20936693978.55,-1331817103.28,,,,42673.37,,42673.37,48514582.22,57042000.0,,,,105556582.22,-105513908.85,264757090.74,5082860000.0,,5347617090.74,,4350162156.13,418976648.96,,38513709.12,4807652514.21,539964576.53,-1106206.57,-898472642.17,45684141692.59,44785669050.42,,,,,,,,,,,,,,,,,,,,,,,,,780000000.0,1067847151.08,,,,,,,,0
601878.SH,20250411,20250411,20241231,1,4,4,0.49,0.46,15815963055.09,15815963055.09,2511049000.35,,,3611182729.51,1877702146.29,78002593.95,,,,,2349944749.07,719771183.87,393898336.42,9416125812.4,246841702.48,1500779491.48,12500948.12,-1028224.85,13385136975.28,,1522094039.51,,51463358.93,,3950389031.21,,,,,,,,13385136975.28,,,,9338123218.45,2430826079.81,6774091.94,12604787.94,,2424995383.81,418052810.66,2006942573.15,1931881941.85,75060631.3,354300739.4,2361243312.55,2284444460.83,76798851.72,,,,,,,,,,,,,,,,,,,,,,,2006942573.15,1,601878.SH,20250411,20250411,1,4,4,4573796639.0,17116158572.22,8507410351.22,1362899559.42,,41864300738.09,36022564792.29,,,,,,,,,,9617846387.29,,,,,5491055870.52,,,,,5387196673.56,,,5128005106.9,,883756556.37,,,,,,255504129.93,,19845342.58,,484900492.66,,,,,,,570460834.61,,,,,9265724079.48,,,,34105636050.13,6348724550.45,,,154085739578.88,,584890181.55,,,1750000000.0,480553133.72,,,,23139450142.42,,1364306514.2,650867570.63,,,,,,,,,29959065809.1,17532450.0,,,,24422208464.47,,,,267188839.54,,,,,558131475.07,,,26336023039.76,,,,,,,,,,,,117561353377.24,405138429.06,3634473848.72,,,1331581169.51,35192805032.13,36524386201.64,154085739578.88,,403204490.61,,,24224341732.66,352046437.13,7085627515.59,576487358.06,,,,,,123581953.93,,,,,,,,,12435027643.9,0,601878.SH,20250411,20250411,4,1,4,2006942573.15,966160066.84,,,,,,,,,,7850616468.49,,,,16570625168.61,42591028005.0,,2606128543.3,727647846.39,,,,697125013.88,,26286151323.05,36303427649.49,6287600355.51,,,,302555.71,,302555.71,286499841.54,4651492742.5,,,,4937992584.04,-4937690028.33,1298421999.33,18743270000.0,,20041691999.33,,11366479414.1,1327408804.48,,160536173.76,12854424392.34,7187267606.99,6420375.72,8543598309.89,37140543382.7,45684141692.59,,,,44980011.14,127660373.45,93617069.66,30488313.09,,,-108987.35,1840264.18,-246841702.48,-12500948.12,-50134279.08,75308498.42,,399018586.74,-4083293848.08,,6287600355.51,,,,8543598309.89,200000000.0,9651877720.86,-532022.88,137801849.73,,45684141692.59,37140543382.7,,,0
601878.SH,20241031,20241031,20240930,1,4,3,0.33,0.31,11896361363.3,11896361363.3,1803969121.37,,,2303184804.7,1111763825.03,32762982.33,,,,,1456521334.36,449259915.92,304482709.7,7875161675.83,713654184.8,324351344.89,7902585.26,-903512.56,10333307475.1,,1164955081.3,,27868088.03,,2452265049.85,,,,,,,,10333307475.1,,,,7842398693.5,1563053888.2,3545069.33,3936841.92,,1562662115.61,253605832.66,1309056282.95,1264933805.07,44122477.88,173938792.09,1482995075.04,1439162346.54,43832728.5,,,,,,,,,,,,,,,,,,,,,,,1309056282.95,1,601878.SH,20241031,20241031,1,4,3,3883157339.0,10519515190.92,8334636736.45,1272103172.92,,43355856471.4,36942366637.62,,,,,,,,,,4740731259.07,,,,,6977042897.4,,,,,135332218.35,,,9162965561.95,,824285671.13,,,,,,233099687.67,,19845342.58,,629108291.35,,,,,,,1246565901.22,,,,,10509116780.35,,,,36118678140.71,2142661040.12,,,145459588226.93,,292356932.92,,,1287000000.0,358428922.03,,,,23101486387.94,,1217630033.26,263349174.36,,,,,,,,,27607957101.49,,,,,29687228726.29,,,,349371242.29,,,,,952932994.36,,,29831736973.4,,,,,,,,,,,,116195150345.68,405138429.06,3457846465.16,,,1298615046.29,27965822834.96,29264437881.25,145459588226.93,,224870513.1,678831846.47,,18003359978.49,260501208.62,149779883.56,725203840.77,,,,,,112374225.52,,,,,,,,,10729265712.98,0,601878.SH,20241031,20241031,4,1,3,,,,,,,,,,,,5015079966.23,,,,10798473331.71,30834624089.57,,1744284407.88,573935069.69,,,,741088101.93,,17650797597.38,22845135489.91,7989488599.66,,,,567303.88,,567303.88,109522161.11,1835716900.0,,,,1945239061.11,-1944671757.23,668361463.84,8802450000.0,,9470811463.84,,9499357698.51,1089824570.51,,123305394.67,10712487663.69,-1241676199.85,-1070232.45,4802070410.13,37140543382.7,41942613792.83,,,,,,,,,,,,,,,,,,,,,,,,,663000000.0,7522635495.96,,,,,,,,0
601878.SH,20240824,20240824,20240630,1,4,2,0.2,0.19,8000213703.21,8000213703.21,1206606258.62,,,1557857189.4,650703823.12,45305963.07,,,,,1021027563.28,286184839.01,206135155.26,5435952742.85,394727528.14,185576288.49,5535978.82,-937634.09,7042104430.2,,805600347.71,,18605142.75,,1578188266.13,,,,,,,,7042104430.2,,,,5390646779.78,958109273.01,108692.99,1485693.87,,956732272.13,141991737.57,814740534.56,784352341.09,30388193.47,97510297.35,912250831.91,881248413.59,31002418.32,,,,,,,,,,,,,,,,,,,,,,,814740534.56,1,601878.SH,20240824,20240824,1,4,2,3882194382.0,10510190132.22,7854055272.47,1272103172.92,,32667887114.82,34623884784.91,,,,,,,,,,8078088098.47,,,,,6573353446.51,,,,,132965611.91,,,9139891677.17,,839973448.97,,,,,,243013030.95,,19845342.58,,583201961.21,,,,,,,2357974979.95,,,,,9665293345.03,,,,24990225734.29,5879202240.93,,,134975315303.13,,351665646.07,,,1000000000.0,85459932.46,,,,20225873135.63,,1130397918.33,253209191.05,,,,,,,,,20403033846.61,40000000.0,,,,27580479789.36,,,,241226758.64,,,,,1613195056.8,,,30353490015.9,,,,,,,,,,,,106290964299.53,405138429.06,3457846465.16,,,1285784736.11,27398566267.49,28684351003.6,134975315303.13,,147538044.13,679777227.65,,18395376807.05,342557060.13,2285565174.99,254992297.07,,,,,,175964313.64,,,,,,,,,10365228222.51,0,601878.SH,20240824,20240824,4,1,2,814740534.56,490278087.82,,,,,,,,,,3504887416.99,,,,10082236786.72,22647506772.98,,1247003545.15,408191918.94,,,,383833885.77,,18078970508.01,25681150930.82,-3033644157.84,,,,130541.58,,130541.58,72496641.72,1351001830.0,,,,1423498471.72,-1423367930.14,464337165.67,6802450000.0,,7266787165.67,,7106043048.29,434817537.84,,66782123.62,7607642709.75,-340855544.08,2268730.86,-4795598901.2,37140543382.7,32344944481.5,,,,25000000.0,60023483.34,44723299.96,16531417.83,,,7669.82,234321.87,-394727528.14,-5535978.82,-22381693.42,128505024.91,,1852325164.6,-13440584080.3,,-3033644157.84,,,,-4795598901.2,950000000.0,,29313704.56,68606368.16,,32344944481.5,37140543382.7,,,0
601878.SH,20240430,20240430,20240331,1,4,1,0.12,0.11,3882423873.09,3882423873.09,569338795.15,,,803726896.23,490644266.83,3421339.42,,,,,532081542.39,150630643.53,109600519.38,2439937739.54,622167807.64,-159496163.93,-1404879.83,-1165439.13,3323258038.44,,417802485.24,,10237809.41,,866686303.99,,,,,,,,3323258038.44,,,,2436516400.12,559165834.65,27515.22,1338137.64,,557855212.23,100030820.47,457824391.76,447423004.8,10401386.96,46278502.58,504102894.34,493571228.34,10531666.0,,,,,,,,,,,,,,,,,,,,,,,457824391.76,1,601878.SH,20240430,20240430,1,4,1,3878194543.0,10471233856.73,8313547238.6,1192623147.55,,41901636190.56,40773950750.37,,,,,,,,,,5928008356.6,,,,,5678252707.25,,,,,126024753.26,,,8492267922.71,,855884433.99,,,,,,254133138.52,,19845342.58,,652564643.86,,,,,,,1977724330.19,,,,,9167569249.23,,,,33108827321.07,3860753390.77,,,143029935023.05,,295871531.53,,,770000000.0,324887528.76,,,,22608899302.88,,1105852640.59,375805846.87,,,,,,,,,20482348537.11,,,,,29167378619.13,,,,272052810.71,,,,,1426159730.16,,,35888789316.96,,,,,,,,,,,,114254628730.51,405138429.06,3278983046.19,,,1265313983.8,27509992308.74,28775306292.54,143029935023.05,,96790195.17,683758710.56,,18770357415.28,310963022.72,397458305.44,547672553.02,,,,,,285946545.44,,,,,,,,,7676824302.28,0,601878.SH,20240430,20240430,4,1,1,,,,,,,,,,,,1533085881.7,,,,5518176356.72,11969121608.51,,829607112.25,145654757.09,,,,286519311.25,,4267919078.26,8676551266.25,3292570342.26,,,,19699.74,,19699.74,30878962.53,,,,,30878962.53,-30859262.79,184525041.75,2388440000.0,,2572965041.75,,2849874234.77,147207664.22,,39706099.64,3036787998.63,-463822956.88,481205.01,2798369327.6,37140543382.7,39938912710.3,,,,,,,,,,,,,,,,,,,,,,,,,1180000000.0,219495643.83,,,,,,,,0
601878.SH,20240411,20240411,20231231,1,4,4,0.46,0.42,17638225323.48,17638225323.48,2473699634.67,,,3850285038.62,1241879266.83,148077293.42,,,,,2472163057.59,877083066.68,420018413.71,11939824524.15,-59285041.93,1096073927.97,11828816.95,2437162.66,15426806933.49,,1719385847.37,,55464210.56,,3538497527.13,,,,,,,,15426806933.49,,,,11791747230.73,2211418389.99,916599.9,10751409.05,,2201583580.84,377811374.16,1823772206.68,1753537425.31,70234781.37,43011178.37,1866783385.05,1795490877.7,71292507.35,,,,,,,,,,,,,,,,,,,,,,,1823772206.68,1,601878.SH,20240411,20240411,1,4,4,3878194249.0,10471231003.17,7866124233.8,1192623147.55,,39444433274.17,41917640335.0,,,,,,,,,,7787330053.79,,,,,7729402269.44,,,,,127429633.09,,,6963691191.21,,872741533.12,,,,,,267288750.35,,19845342.58,,556128784.24,,,,,,,1279110055.89,,,,,9706569063.2,,,,31111814642.32,5401695756.84,,,145527686507.72,,338593242.37,,,1950000000.0,472060611.07,,,,24592144894.64,,1320724444.69,452418374.4,,,,,,,,,20285928406.47,16812000.0,,,,27561027404.52,,,,76633598.33,,,,,996026608.14,,,35931137923.99,,,,,,,,,,,,117256485964.04,405138429.06,3278983046.19,,,1254782317.79,27016418225.89,28271200543.68,145527686507.72,,50641971.63,683759003.61,,19934760864.38,298440925.76,2137610581.18,694597039.83,,,,,,104000424.24,,,,,,,,,8163897895.25,0,601878.SH,20240411,20240411,4,1,4,1823772206.68,977261592.49,,,,,,,,,,8867507278.52,,1250000000.0,759359377.9,25920381355.12,38219923382.51,,2346559451.34,907358683.78,,,,860999001.14,,24179167909.29,32309667284.52,5910256097.99,,,,1003663.61,,1003663.61,244355388.41,109091497.85,,,,353446886.26,-352443222.65,640952812.15,26069470000.0,,26710422812.15,,22442699075.78,1174545045.9,,549957076.1,24167201197.78,2543221614.37,3906868.25,8104941357.96,29035602024.74,37140543382.7,,,,13711386.83,116612956.67,77281336.06,31939303.85,,,-936227.87,546981.42,59285041.93,-11828816.95,-8064521.45,-137566786.05,,-5975679971.69,6819337186.3,,5910256097.99,,,,8104941357.96,,,27169881.63,127070616.03,,37140543382.7,29035602024.74,,,1
601878.SH,20240411,20240411,20231231,1,4,4,0.46,0.42,17638225323.48,17638225323.48,2473699634.67,,,3850285038.62,1241879266.83,148077293.42,,,,,2472163057.59,877083066.68,420018413.71,11939824524.15,-59285041.93,1096073927.97,11828816.95,2437162.66,15426806933.49,,1719385847.37,,55464210.56,,3538497527.13,,,,,,,,15426806933.49,,,,11791747230.73,2211418389.99,916599.9,10751409.05,,2201583580.84,377811374.16,1823772206.68,1753537425.31,70234781.37,43011178.37,1866783385.05,1795490877.7,71292507.35,,,,,,,,,,,,,,,,,,,,,,,1823772206.68,1,601878.SH,20240411,20240411,1,4,4,3878194249.0,10471231003.17,7866124233.8,1192623147.55,,39444433274.17,41917640335.0,,,,,,,,,,7787330053.79,,,,,7729402269.44,,,,,127429633.09,,,6963691191.21,,872741533.12,,,,,,267288750.35,,19845342.58,,556128784.24,,,,,,,1279110055.89,,,,,9706569063.2,,,,31111814642.32,5401695756.84,,,145527686507.72,,338593242.37,,,1950000000.0,472060611.07,,,,24592144894.64,,1320724444.69,452418374.4,,,,,,,,,20285928406.47,16812000.0,,,,27561027404.52,,,,76633598.33,,,,,996026608.14,,,35931137923.99,,,,,,,,,,,,117256485964.04,405138429.06,3278983046.19,,,1254782317.79,27016418225.89,28271200543.68,145527686507.72,,50641971.63,683759003.61,,19934760864.38,298440925.76,2137610581.18,694597039.83,,,,,,104000424.24,,,,,,,,,8163897895.25,0,601878.SH,20240411,20240411,4,1,4,1823772206.68,977261592.49,,,,,,,,,,8867507278.52,,1250000000.0,759359377.9,25920381355.12,38219923382.51,,2346559451.34,907358683.78,,,,860999001.14,,24179167909.29,32309667284.52,5910256097.99,,,,1003663.61,,1003663.61,244355388.41,109091497.85,,,,353446886.26,-352443222.65,640952812.15,26069470000.0,,26710422812.15,,22442699075.78,1174545045.9,,549957076.1,24167201197.78,2543221614.37,3906868.25,8104941357.96,29035602024.74,37140543382.7,,,,13711386.83,116612956.67,77281336.06,31939303.85,,,-936227.87,546981.42,59285041.93,-11828816.95,-8064521.45,-137566786.05,,-5975679971.69,6819337186.3,,5910256097.99,,,,8104941357.96,,,27169881.63,127070616.03,,37140543382.7,29035602024.74,,,0
601878.SH,20240411,20240411,20231231,1,4,4,0.46,0.42,17638225323.48,17638225323.48,2473699634.67,,,3850285038.62,1241879266.83,148077293.42,,,,,2472163057.59,877083066.68,420018413.71,11939824524.15,-59285041.93,1096073927.97,11828816.95,2437162.66,15426806933.49,,1719385847.37,,55464210.56,,3538497527.13,,,,,,,,15426806933.49,,,,11791747230.73,2211418389.99,916599.9,10751409.05,,2201583580.84,377811374.16,1823772206.68,1753537425.31,70234781.37,43011178.37,1866783385.05,1795490877.7,71292507.35,,,,,,,,,,,,,,,,,,,,,,,1823772206.68,1,601878.SH,20240411,20240411,1,4,4,3878194249.0,10471231003.17,7866124233.8,1192623147.55,,39444433274.17,41917640335.0,,,,,,,,,,7787330053.79,,,,,7729402269.44,,,,,127429633.09,,,6963691191.21,,872741533.12,,,,,,267288750.35,,19845342.58,,556128784.24,,,,,,,1279110055.89,,,,,9706569063.2,,,,31111814642.32,5401695756.84,,,145527686507.72,,338593242.37,,,1950000000.0,472060611.07,,,,24592144894.64,,1320724444.69,452418374.4,,,,,,,,,20285928406.47,16812000.0,,,,27561027404.52,,,,76633598.33,,,,,996026608.14,,,35931137923.99,,,,,,,,,,,,117256485964.04,405138429.06,3278983046.19,,,1254782317.79,27016418225.89,28271200543.68,145527686507.72,,50641971.63,683759003.61,,19934760864.38,298440925.76,2137610581.18,694597039.83,,,,,,104000424.24,,,,,,,,,8163897895.25,1,601878.SH,20240411,20240411,4,1,4,1823772206.68,977261592.49,,,,,,,,,,8867507278.52,,1250000000.0,759359377.9,25920381355.12,38219923382.51,,2346559451.34,907358683.78,,,,860999001.14,,24179167909.29,32309667284.52,5910256097.99,,,,1003663.61,,1003663.61,244355388.41,109091497.85,,,,353446886.26,-352443222.65,640952812.15,26069470000.0,,26710422812.15,,22442699075.78,1174545045.9,,549957076.1,24167201197.78,2543221614.37,3906868.25,8104941357.96,29035602024.74,37140543382.7,,,,13711386.83,116612956.67,77281336.06,31939303.85,,,-936227.87,546981.42,59285041.93,-11828816.95,-8064521.45,-137566786.05,,-5975679971.69,6819337186.3,,5910256097.99,,,,8104941357.96,,,27169881.63,127070616.03,,37140543382.7,29035602024.74,,,1
601878.SH,20240411,20240411,20231231,1,4,4,0.46,0.42,17638225323.48,17638225323.48,2473699634.67,,,3850285038.62,1241879266.83,148077293.42,,,,,2472163057.59,877083066.68,420018413.71,11939824524.15,-59285041.93,1096073927.97,11828816.95,2437162.66,15426806933.49,,1719385847.37,,55464210.56,,3538497527.13,,,,,,,,15426806933.49,,,,11791747230.73,2211418389.99,916599.9,10751409.05,,2201583580.84,377811374.16,1823772206.68,1753537425.31,70234781.37,43011178.37,1866783385.05,1795490877.7,71292507.35,,,,,,,,,,,,,,,,,,,,,,,1823772206.68,1,601878.SH,20240411,20240411,1,4,4,3878194249.0,10471231003.17,7866124233.8,1192623147.55,,39444433274.17,41917640335.0,,,,,,,,,,7787330053.79,,,,,7729402269.44,,,,,127429633.09,,,6963691191.21,,872741533.12,,,,,,267288750.35,,19845342.58,,556128784.24,,,,,,,1279110055.89,,,,,9706569063.2,,,,31111814642.32,5401695756.84,,,145527686507.72,,338593242.37,,,1950000000.0,472060611.07,,,,24592144894.64,,1320724444.69,452418374.4,,,,,,,,,20285928406.47,16812000.0,,,,27561027404.52,,,,76633598.33,,,,,996026608.14,,,35931137923.99,,,,,,,,,,,,117256485964.04,405138429.06,3278983046.19,,,1254782317.79,27016418225.89,28271200543.68,145527686507.72,,50641971.63,683759003.61,,19934760864.38,298440925.76,2137610581.18,694597039.83,,,,,,104000424.24,,,,,,,,,8163897895.25,1,601878.SH,20240411,20240411,4,1,4,1823772206.68,977261592.49,,,,,,,,,,8867507278.52,,1250000000.0,759359377.9,25920381355.12,38219923382.51,,2346559451.34,907358683.78,,,,860999001.14,,24179167909.29,32309667284.52,5910256097.99,,,,1003663.61,,1003663.61,244355388.41,109091497.85,,,,353446886.26,-352443222.65,640952812.15,26069470000.0,,26710422812.15,,22442699075.78,1174545045.9,,549957076.1,24167201197.78,2543221614.37,3906868.25,8104941357.96,29035602024.74,37140543382.7,,,,13711386.83,116612956.67,77281336.06,31939303.85,,,-936227.87,546981.42,59285041.93,-11828816.95,-8064521.45,-137566786.05,,-5975679971.69,6819337186.3,,5910256097.99,,,,8104941357.96,,,27169881.63,127070616.03,,37140543382.7,29035602024.74,,,0
601878.SH,20231031,20231031,20230930,1,4,3,0.36,0.33,12621928105.24,12621928105.24,1830207991.13,,,2912610519.58,977952466.31,20245755.5,,,,,1323341166.59,676716624.56,258474341.22,8184048078.37,-83960682.22,986199624.41,17745292.97,1474464.96,10915927094.76,,1262645194.65,,36241008.56,,2642112876.31,,,,,,,,10915927094.76,,,,8163802322.87,1706001010.48,248372.21,2701301.49,,1703548081.2,329170355.94,1374377725.26,1330379184.93,43998540.33,35526346.83,1409904072.09,1363943505.78,45960566.31,,,,,,,,,,,,,,,,,,,,,,,1374377725.26,1,601878.SH,20231031,20231031,1,4,3,3878190720.0,10471197183.01,7709172209.6,1111329094.02,,43748723801.25,42276359012.32,,,,,,,,,,6907394493.78,,,,,6307846938.15,,,,,133346109.11,,,5917949789.34,,864840306.55,,,,,,219209957.76,,19845342.58,,801331040.87,,,,,,,795983332.16,,,,,11098658351.97,,,,33870863464.7,4926144972.3,,,146978830202.59,,386387930.06,,,1220000000.0,757860918.31,,,,23550455563.17,,1329625047.88,353684606.58,,,,,,,,,18789388620.12,,,,,24479111831.1,,,,403646227.06,,,,,463813907.4,,,41590327530.37,,,,,,,,,,,,119164542804.42,405138429.06,3094070883.54,,,1229450376.75,26584837021.42,27814287398.17,146978830202.59,,42252840.09,683762520.22,,19455605484.84,357052235.13,4788437184.39,443101969.86,,,,,,309135596.45,,,,,,,,,7652990458.16,0,601878.SH,20231031,20231031,4,1,3,,,,,,,,,,,,6615210317.56,,520000000.0,,26087581945.05,34900222303.88,,1798339675.38,761020399.02,,,,852180941.61,,16779306337.64,24334148533.18,10566073770.7,,,,1295089.87,,1295089.87,108020932.29,57680000.0,,,,165700932.29,-164405842.42,547408210.06,19981770000.0,,20529178210.06,,16564260278.19,997419147.71,,506175270.42,18067854696.32,2461323513.74,7247034.85,12870238476.87,29035602024.74,41905840501.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
