index_code,con_code,weight
000300.SH,600519.SH,4.6841
000300.SH,300750.SZ,3.2794
000300.SH,601318.SH,2.8643
000300.SH,600036.SH,2.6897
000300.SH,000333.SZ,1.8344
000300.SH,600900.SH,1.8229
000300.SH,601166.SH,1.704
000300.SH,002594.SZ,1.5934
000300.SH,601899.SH,1.4701
000300.SH,300059.SZ,1.2894
000300.SH,600030.SH,1.2344
000300.SH,601398.SH,1.2316
000300.SH,600276.SH,1.2111
000300.SH,000858.SZ,1.1959
000300.SH,000651.SZ,0.9961
000300.SH,600887.SH,0.9618
000300.SH,601211.SH,0.9531
000300.SH,601328.SH,0.8962
000300.SH,601288.SH,0.8788
000300.SH,601816.SH,0.8562
000300.SH,688981.SH,0.8104
000300.SH,600919.SH,0.8039
000300.SH,603259.SH,0.7968
000300.SH,002475.SZ,0.758
000300.SH,600000.SH,0.7276
000300.SH,300760.SZ,0.6971
000300.SH,000725.SZ,0.694
000300.SH,300124.SZ,0.6902
000300.SH,002371.SZ,0.6688
000300.SH,601088.SH,0.6385
000300.SH,688041.SH,0.6255
000300.SH,688256.SH,0.6147
000300.SH,601728.SH,0.61
000300.SH,601668.SH,0.5851
000300.SH,601601.SH,0.5836
000300.SH,601988.SH,0.575
000300.SH,002352.SZ,0.5703
000300.SH,000001.SZ,0.5663
000300.SH,002714.SZ,0.561
000300.SH,600016.SH,0.5496
000300.SH,601127.SH,0.5433
000300.SH,601229.SH,0.5416
000300.SH,600031.SH,0.5401
000300.SH,600941.SH,0.525
000300.SH,603501.SH,0.5242
000300.SH,002415.SZ,0.5118
000300.SH,601919.SH,0.5115
000300.SH,600309.SH,0.5041
000300.SH,000063.SZ,0.4954
000300.SH,600837.SH,0.4934
000300.SH,601169.SH,0.4718
000300.SH,601857.SH,0.4649
000300.SH,600660.SH,0.4599
000300.SH,600690.SH,0.4586
000300.SH,688008.SH,0.4558
000300.SH,300498.SZ,0.4496
000300.SH,603019.SH,0.4476
000300.SH,002142.SZ,0.4442
000300.SH,002230.SZ,0.4376
000300.SH,600809.SH,0.4368
000300.SH,600406.SH,0.4337
000300.SH,601766.SH,0.4334
000300.SH,300274.SZ,0.4318
000300.SH,601012.SH,0.4299
000300.SH,300502.SZ,0.4235
000300.SH,601688.SH,0.422
000300.SH,000568.SZ,0.4197
000300.SH,600050.SH,0.4188
000300.SH,600028.SH,0.4145
000300.SH,300308.SZ,0.4067
000300.SH,000338.SZ,0.4052
000300.SH,000100.SZ,0.3963
000300.SH,601225.SH,0.3921
000300.SH,601985.SH,0.3863
000300.SH,688012.SH,0.3852
000300.SH,603986.SH,0.3705
000300.SH,601818.SH,0.3697
000300.SH,601138.SH,0.369
000300.SH,002027.SZ,0.3682
000300.SH,603288.SH,0.366
000300.SH,600104.SH,0.3492
000300.SH,600150.SH,0.3403
000300.SH,601006.SH,0.3341
000300.SH,605499.SH,0.3295
000300.SH,000425.SZ,0.3291
000300.SH,601628.SH,0.3194
000300.SH,688111.SH,0.3191
000300.SH,600926.SH,0.3145
000300.SH,000625.SZ,0.309
000300.SH,600436.SH,0.3053
000300.SH,601009.SH,0.3034
000300.SH,600905.SH,0.302
000300.SH,601939.SH,0.3007
000300.SH,600999.SH,0.2989
000300.SH,601658.SH,0.2969
000300.SH,000792.SZ,0.2964
000300.SH,600111.SH,0.2958
000300.SH,601888.SH,0.2939
000300.SH,600089.SH,0.2917
000300.SH,688271.SH,0.2892
000300.SH,300015.SZ,0.2892
000300.SH,600048.SH,0.2879
000300.SH,600019.SH,0.286
000300.SH,601390.SH,0.2853
000300.SH,002050.SZ,0.2851
000300.SH,600547.SH,0.2731
000300.SH,300014.SZ,0.273
000300.SH,600585.SH,0.2702
000300.SH,000938.SZ,0.2699
000300.SH,600760.SH,0.269
000300.SH,600938.SH,0.2681
000300.SH,300033.SZ,0.2625
000300.SH,601600.SH,0.2617
000300.SH,002311.SZ,0.2574
000300.SH,603993.SH,0.2525
000300.SH,000538.SZ,0.2523
000300.SH,002241.SZ,0.2518
000300.SH,601989.SH,0.2513
000300.SH,002179.SZ,0.2503
000300.SH,000977.SZ,0.2496
000300.SH,600415.SH,0.2462
000300.SH,600958.SH,0.2455
000300.SH,601916.SH,0.2445
000300.SH,600015.SH,0.2429
000300.SH,601838.SH,0.2427
000300.SH,002422.SZ,0.2419
000300.SH,000776.SZ,0.2392
000300.SH,600893.SH,0.2337
000300.SH,600584.SH,0.2266
000300.SH,603799.SH,0.2249
000300.SH,000002.SZ,0.2214
000300.SH,002028.SZ,0.2194
000300.SH,600438.SH,0.2161
000300.SH,300408.SZ,0.2159
000300.SH,002049.SZ,0.2158
000300.SH,000166.SZ,0.2134
000300.SH,601336.SH,0.2105
000300.SH,002463.SZ,0.2057
000300.SH,600489.SH,0.2047
000300.SH,600795.SH,0.2014
000300.SH,601669.SH,0.2013
000300.SH,600570.SH,0.2
000300.SH,600009.SH,0.1998
000300.SH,601377.SH,0.1991
000300.SH,300433.SZ,0.1981
000300.SH,002304.SZ,0.1966
000300.SH,600010.SH,0.1941
000300.SH,000963.SZ,0.193
000300.SH,601995.SH,0.1927
000300.SH,601901.SH,0.1863
000300.SH,600886.SH,0.183
000300.SH,601186.SH,0.1806
000300.SH,600160.SH,0.1787
000300.SH,601100.SH,0.1768
000300.SH,600989.SH,0.1752
000300.SH,601360.SH,0.1743
000300.SH,000157.SZ,0.1728
000300.SH,000768.SZ,0.1718
000300.SH,600115.SH,0.1709
000300.SH,601881.SH,0.1705
000300.SH,002460.SZ,0.1682
000300.SH,000975.SZ,0.1678
000300.SH,002001.SZ,0.1675
000300.SH,688169.SH,0.1665
000300.SH,000661.SZ,0.1644
000300.SH,688036.SH,0.1635
000300.SH,600066.SH,0.1634
000300.SH,603369.SH,0.1631
000300.SH,601788.SH,0.1622
000300.SH,601689.SH,0.1615
000300.SH,002252.SZ,0.161
000300.SH,600029.SH,0.1609
000300.SH,601058.SH,0.1606
000300.SH,600674.SH,0.1603
000300.SH,002736.SZ,0.1602
000300.SH,601998.SH,0.1595
000300.SH,600196.SH,0.1588
000300.SH,600011.SH,0.1581
000300.SH,600346.SH,0.1569
000300.SH,300661.SZ,0.1564
000300.SH,601800.SH,0.1556
000300.SH,600183.SH,0.1551
000300.SH,001979.SZ,0.1539
000300.SH,600426.SH,0.1522
000300.SH,688126.SH,0.1515
000300.SH,002466.SZ,0.1498
000300.SH,000807.SZ,0.149
000300.SH,601066.SH,0.1484
000300.SH,002236.SZ,0.148
000300.SH,601111.SH,0.1474
000300.SH,002920.SZ,0.1462
000300.SH,300442.SZ,0.1441
000300.SH,601878.SH,0.1427
000300.SH,300418.SZ,0.1427
000300.SH,601868.SH,0.1423
000300.SH,003816.SZ,0.1423
000300.SH,000408.SZ,0.1417
000300.SH,600745.SH,0.1417
000300.SH,002648.SZ,0.1413
000300.SH,601021.SH,0.1412
000300.SH,000786.SZ,0.1403
000300.SH,301269.SZ,0.1399
000300.SH,600741.SH,0.1397
000300.SH,600372.SH,0.1392
000300.SH,601117.SH,0.1391
000300.SH,601633.SH,0.1383
000300.SH,600460.SH,0.1375
000300.SH,002601.SZ,0.1359
000300.SH,600600.SH,0.1346
000300.SH,600176.SH,0.1344
000300.SH,300394.SZ,0.1343
000300.SH,600588.SH,0.1321
000300.SH,603392.SH,0.1316
000300.SH,601319.SH,0.1314
000300.SH,002074.SZ,0.1312
000300.SH,300782.SZ,0.1306
000300.SH,300896.SZ,0.1301
000300.SH,600085.SH,0.1293
000300.SH,600219.SH,0.1288
000300.SH,001965.SZ,0.1285
000300.SH,300347.SZ,0.128
000300.SH,002493.SZ,0.1278
000300.SH,000895.SZ,0.126
000300.SH,688396.SH,0.1253
000300.SH,300759.SZ,0.1243
000300.SH,600482.SH,0.1213
000300.SH,000630.SZ,0.1206
000300.SH,600039.SH,0.1201
000300.SH,002129.SZ,0.1197
000300.SH,000596.SZ,0.1195
000300.SH,601877.SH,0.1168
000300.SH,688506.SH,0.116
000300.SH,300832.SZ,0.1158
000300.SH,600515.SH,0.1155
000300.SH,300122.SZ,0.1153
000300.SH,002555.SZ,0.1138
000300.SH,002916.SZ,0.1136
000300.SH,600161.SH,0.1131
000300.SH,002709.SZ,0.1128
000300.SH,600188.SH,0.1127
000300.SH,000301.SZ,0.1107
000300.SH,600362.SH,0.11
000300.SH,000999.SZ,0.1094
000300.SH,600233.SH,0.1094
000300.SH,000876.SZ,0.1084
000300.SH,600845.SH,0.1073
000300.SH,300450.SZ,0.1066
000300.SH,002180.SZ,0.1065
000300.SH,002271.SZ,0.1062
000300.SH,600023.SH,0.1056
000300.SH,605117.SH,0.1039
000300.SH,601618.SH,0.1034
000300.SH,601607.SH,0.1024
000300.SH,688223.SH,0.1011
000300.SH,603296.SH,0.1006
000300.SH,600027.SH,0.0986
000300.SH,601799.SH,0.0983
000300.SH,601872.SH,0.0971
000300.SH,002938.SZ,0.0961
000300.SH,600875.SH,0.0958
000300.SH,600332.SH,0.0947
000300.SH,601898.SH,0.0936
000300.SH,300999.SZ,0.0903
000300.SH,002459.SZ,0.0902
000300.SH,600061.SH,0.0899
000300.SH,600025.SH,0.0882
000300.SH,600803.SH,0.0882
000300.SH,002007.SZ,0.0881
000300.SH,300316.SZ,0.0871
000300.SH,000983.SZ,0.0868
000300.SH,000617.SZ,0.0867
000300.SH,600918.SH,0.085
000300.SH,300628.SZ,0.084
000300.SH,601238.SH,0.0839
000300.SH,603659.SH,0.0835
000300.SH,603260.SH,0.0832
000300.SH,300413.SZ,0.0825
000300.SH,600018.SH,0.0805
000300.SH,002812.SZ,0.0798
000300.SH,688599.SH,0.0762
000300.SH,601059.SH,0.0696
000300.SH,600026.SH,0.0692
000300.SH,603195.SH,0.069
000300.SH,688009.SH,0.0647
000300.SH,688472.SH,0.0639
000300.SH,601699.SH,0.0632
000300.SH,603806.SH,0.0625
000300.SH,601698.SH,0.0614
000300.SH,688303.SH,0.06
000300.SH,601236.SH,0.058
000300.SH,688187.SH,0.0561
000300.SH,000708.SZ,0.056
000300.SH,603833.SH,0.0555
000300.SH,601865.SH,0.0543
000300.SH,601136.SH,0.0509
000300.SH,688082.SH,0.0462
000300.SH,300979.SZ,0.0397
000300.SH,601808.SH,0.0394
000300.SH,600377.SH,0.039
000300.SH,000800.SZ,0.034
