date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,RSI,turnover_rate,volatility,MACD,Signal,Hist,revenue,net_profit,revenue_growth,net_profit_growth
2025-01-27,002422.SZ,28.16,28.66,28.04,28.13,28.14,-0.01,-0.0355,118590.3,335376.247,28.236,28.086000000000002,28.345,52.80898876404493,0.35360375417403966,0.0,-0.43492589286312366,-0.5183165988340864,0.08339070597096276,0,0,0.0,0.0
2025-02-05,002422.SZ,28.31,28.35,27.42,27.54,28.13,-0.59,-2.0974,126960.45,350557.168,28.071999999999996,28.011000000000003,28.205999999999996,51.19825708061001,0.3621676051422232,0.01671369702605693,-0.45711140603058453,-0.5060755602733861,0.04896415424280154,0,0,0.0,0.0
2025-02-06,002422.SZ,27.58,27.78,27.28,27.75,27.54,0.21,0.7625,106993.79,295216.208,27.938,28.016,28.096999999999998,51.30434782608696,0.362425189066855,0.016812376036443154,-0.4525318347967655,-0.49536681517806197,0.04283498038129646,0,0,0.0,0.0
2025-02-07,002422.SZ,27.62,28.2,27.42,27.86,27.75,0.11,0.3964,144478.57,402906.062,27.883999999999997,28.046,28.016,55.13392857142856,0.35859120431898595,0.01667082211521122,-0.4350118649150332,-0.4832958251254562,0.04828396021042303,0,0,0.0,0.0
2025-02-10,002422.SZ,27.86,28.49,27.73,28.4,27.86,0.54,1.9383,147196.42,414809.423,27.936,28.139,27.9755,55.92105263157892,0.35485312492527443,0.01729781119581537,-0.3732510695385791,-0.4612868740080808,0.08803580446950171,0,0,0.0,0.0
2025-02-11,002422.SZ,28.4,28.5,27.58,27.75,28.4,-0.65,-2.2887,176153.06,490326.902,27.860000000000003,28.048000000000002,27.917999999999996,44.35146443514646,0.3592563640328264,0.017855733102846688,-0.3724612604027371,-0.4435217512870121,0.07106049088427502,0,0,0.0,0.0
2025-02-12,002422.SZ,27.59,27.73,27.16,27.4,27.75,-0.35,-1.2613,157586.61,431117.693,27.832,27.951999999999998,27.894,46.69603524229074,0.36553037038078595,0.01627163622904852,-0.3955181192233468,-0.433921024874279,0.03840290565093224,0,0,0.0,0.0
2025-02-13,002422.SZ,27.39,27.84,27.36,27.44,27.4,0.04,0.146,126596.9,349082.127,27.77,27.853999999999996,27.8945,48.64864864864868,0.3626564931523979,0.015865954338995115,-0.40588439756743355,-0.42831369941291,0.022429301845476424,0,0,0.0,0.0
2025-02-14,002422.SZ,27.53,27.94,27.47,27.75,27.44,0.31,1.1297,145629.54,404343.743,27.747999999999998,27.815999999999995,27.9005,53.00429184549357,0.36016271432695324,0.015985866854514155,-0.38465131766530547,-0.4195812230633891,0.034929905398083605,0,0,0.0,0.0
2025-02-17,002422.SZ,27.88,27.9,27.16,27.35,27.75,-0.4,-1.4414,201873.33,552870.86,27.538,27.737000000000002,27.898000000000003,33.07493540051685,0.3651364986029468,0.016215885965386322,-0.3955410548626084,-0.414773189423233,0.019232134560624614,0,0,0.0,0.0
2025-02-18,002422.SZ,27.33,27.95,27.0,27.38,27.35,0.03,0.1097,213923.34,587882.538,27.464,27.662,27.874000000000002,36.3888888888889,0.36388789625862306,0.015734996397411265,-0.39717214748314333,-0.41125298103521507,0.014080833552071736,0,0,0.0,0.0
2025-02-19,002422.SZ,27.2,27.31,26.72,26.85,27.38,-0.53,-1.9357,256464.85,691376.453,27.353999999999996,27.593,27.802,30.712530712530707,0.3709481988967883,0.015774478303955015,-0.4362030930122458,-0.41624300343062126,-0.01996008958162454,0,0,0.0,0.0
2025-02-20,002422.SZ,26.88,27.45,26.72,27.19,26.85,0.34,1.2663,195602.23,531908.006,27.304000000000002,27.537,27.7765,38.59223300970875,0.36773695412285257,0.015498897472254393,-0.4346894110990078,-0.41993228496429863,-0.014757126134709198,0,0,0.0,0.0
2025-02-21,002422.SZ,27.21,28.5,27.19,28.47,27.19,1.28,4.7076,404328.09,1132874.648,27.448,27.598000000000003,27.821999999999996,53.06122448979591,0.35690452665156647,0.0187839186198213,-0.32644149038523196,-0.4012341260484853,0.07479263566325334,0,0,0.0,0.0
2025-02-24,002422.SZ,28.65,28.83,28.21,28.44,28.47,-0.03,-0.1054,180060.47,513778.198,27.666000000000004,27.601999999999997,27.870500000000003,52.86506469500927,0.35046343091420945,0.018759075733440923,-0.240304897342984,-0.369048280307385,0.12874338296440102,0,0,0.0,0.0
2025-02-25,002422.SZ,28.3,28.42,27.91,28.1,28.44,-0.34,-1.1955,112827.27,317357.41,27.810000000000002,27.637,27.842499999999994,55.42635658914731,0.3555211457013089,0.016238194162645086,-0.19720295239714503,-0.334679214725337,0.137476262328192,0,0,0.0,0.0
2025-02-26,002422.SZ,28.2,29.24,27.83,29.1,28.1,1.0,3.5587,261475.53,745144.727,28.26,27.807,27.879499999999997,61.34453781512608,0.3509056972767117,0.01797681023796419,-0.08141421544645056,-0.28402621486955976,0.2026119994231092,0,0,0.0,0.0
2025-02-27,002422.SZ,29.02,30.54,28.9,30.49,29.1,1.39,4.7766,387755.24,1160133.479,28.919999999999998,28.112000000000002,27.982999999999997,68.18810511756573,0.3342332990288611,0.020751128098680766,0.12111444416389006,-0.20299808306286982,0.3241125272267599,0,0,0.0,0.0
2025-02-28,002422.SZ,30.41,30.46,29.43,29.5,30.49,-0.99,-3.247,191317.0,570734.378,29.125999999999998,28.287,28.051499999999997,57.16145833333336,0.3352119784170422,0.02209159766165652,0.19943616386812835,-0.1225112336766702,0.32194739754479856,0,0,0.0,0.0
