set_type,true,pred,residual
train,30.58,30.580536,-0.0005358886718767053
train,30.69,30.690313,-0.0003133392333971585
train,31.53,31.529093,0.0009072113037120744
train,32.1,32.100513,-0.0005134582519517039
train,32.58,32.579105,0.0008946228027326697
train,31.44,31.440195,-0.00019508361816278352
train,33.86,33.859715,0.00028549194335880657
train,33.09,33.090363,-0.0003625488281215894
train,33.29,33.289467,0.0005331420898428973
train,32.7,32.70002,-1.983642577840783e-05
train,32.68,32.680435,-0.0004351806640627842
train,32.69,32.6897,0.00029891967773210126
train,32.33,32.331394,-0.0013941955566423303
train,32.64,32.639736,0.00026382446289119343
train,32.53,32.530354,-0.00035354614257698813
train,32.6,32.59988,0.00011978149414204609
train,33.02,33.019196,0.0008044433593781264
train,33.43,33.430073,-7.278442382840922e-05
train,32.42,32.420612,-0.0006123352050764197
train,34.12,34.118633,0.001366729736325567
train,33.19,33.190132,-0.00013214111328352374
train,32.82,32.82003,-3.0212402343465783e-05
train,33.26,33.259365,0.0006349182128886355
train,33.11,33.10977,0.00022827148437443157
train,33.07,33.06999,1.1749267578409217e-05
train,32.78,32.779503,0.0004971313476573869
train,32.49,32.490463,-0.0004632568359355105
train,32.09,32.090347,-0.0003472900390590894
train,32.62,32.620537,-0.000536804199221308
train,32.91,32.91002,-1.8920898440910605e-05
train,32.81,32.809696,0.00030380249023664874
train,32.41,32.410183,-0.0001829528808627856
train,32.17,32.168983,0.0010165405273454553
train,31.47,31.469969,3.120422363167563e-05
train,31.17,31.170135,-0.0001354980468732947
train,31.22,31.22018,-0.00018051147461051187
train,31.25,31.248789,0.0012111663818359375
train,30.99,30.989975,2.5024414060936806e-05
train,30.56,30.559694,0.0003057098388659085
train,30.32,30.320333,-0.0003334808349606533
train,30.55,30.550367,-0.00036735534667897696
train,30.63,30.629652,0.00034797668456931774
train,30.26,30.260141,-0.0001413726806624993
train,27.23,27.229982,1.7623901367613826e-05
train,27.07,27.070555,-0.0005547332763669033
train,27.07,27.07071,-0.0007092285156247158
train,27.56,27.560112,-0.00011199951172002898
train,27.75,27.749054,0.000946044921875
train,28.06,28.060598,-0.0005983734130872165
train,27.95,27.949482,0.0005180358886711645
train,27.55,27.550001,-1.1444091789769573e-06
train,27.46,27.46035,-0.00035003662109289735
train,27.53,27.53005,-5.027770995980063e-05
train,27.71,27.709383,0.0006169891357430402
train,27.48,27.481441,-0.0014414978027339487
train,27.59,27.589758,0.0002420806884764204
train,28.76,28.759745,0.0002553558349625007
train,28.79,28.789948,5.249023437414735e-05
train,28.12,28.121273,-0.0012730407714833802
train,28.6,28.598656,0.001344299316407671
train,28.81,28.809984,1.5792846678408523e-05
train,29.13,29.129398,0.0006016540527333802
train,28.98,28.9812,-0.0011992645263667612
train,29.4,29.399614,0.0003856658935532664
train,29.15,29.15055,-0.0005508422851576711
train,29.73,29.729094,0.0009064483642582388
train,29.81,29.810324,-0.0003237152099622165
train,30.23,30.229748,0.0002522277832035513
train,29.39,29.390934,-0.0009339904785150566
train,29.15,29.150564,-0.0005641937255873586
train,29.29,29.28964,0.00035957336425695985
train,29.29,29.288864,0.0011358642578116473
train,29.53,29.529917,8.323669433707437e-05
train,29.6,29.599747,0.0002532958984389211
train,30.17,30.170288,-0.0002880859374982947
train,29.59,29.589602,0.0003984832763670454
train,29.88,29.879822,0.00017822265624900524
train,28.87,28.871325,-0.0013245391845693177
test,29.3,28.730043,0.5699565887451179
test,28.94,29.172142,-0.23214202880859247
test,29.32,28.806772,0.5132277679443362
test,30.37,30.169912,0.20008766174316506
test,30.26,30.32473,-0.06472991943359219
test,30.34,30.347109,-0.007108840942382955
test,30.37,30.34739,0.022610778808594745
test,30.15,30.365192,-0.21519241333007955
test,30.75,30.266489,0.48351097106933594
test,30.62,30.736437,-0.11643684387206932
test,30.2,30.740747,-0.5407474517822273
test,30.03,29.656504,0.3734963226318371
test,30.15,30.240622,-0.09062156677246236
test,29.9,29.847513,0.052486801147459516
test,29.78,30.189533,-0.409533233642577
test,29.33,30.169125,-0.8391246032714861
test,30.24,30.16856,0.07143997192382656
test,31.22,30.30262,0.9173800659179676
test,31.52,30.792963,0.727036972045898
test,31.44,31.023901,0.41609901428222784
