set_type,true,pred,residual
train,10.65,10.6489315,0.0010684967041019178
train,10.41,10.4108925,-0.0008924865722654829
train,10.43,10.430362,-0.00036174774169950297
train,10.34,10.339381,0.0006187820434568891
train,10.27,10.271504,-0.0015044021606449576
train,10.3,10.299908,9.231567382883554e-05
train,10.41,10.409809,0.0001908874511720171
train,10.31,10.310071,-7.099151611278387e-05
train,10.41,10.408557,0.0014430618286134234
train,10.27,10.270614,-0.0006136703491215201
train,10.5,10.499817,0.00018310546875
train,10.44,10.439777,0.00022262573242137762
train,10.39,10.390732,-0.0007318115234369316
train,10.29,10.290253,-0.00025268554687585265
train,10.21,10.208676,0.0013236618042000714
train,10.1,10.100909,-0.000909233093262074
train,10.18,10.179544,0.0004555511474606533
train,10.24,10.239911,8.892059326193191e-05
train,10.17,10.170989,-0.0009890365600586648
train,10.15,10.149504,0.0004962921142581678
train,10.1,10.100355,-0.00035514831543004277
train,10.25,10.249047,0.0009527206420898438
train,10.13,10.130378,-0.00037776947021406215
train,10.14,10.140176,-0.00017581939697208782
train,10.1,10.100299,-0.000298881530762074
train,10.12,10.120143,-0.00014293670654375035
train,10.12,10.120053,-5.329132080156285e-05
train,10.22,10.219145,0.000855178833008452
train,10.42,10.420566,-0.0005656051635742898
train,10.6,10.599939,6.065368652308223e-05
train,10.64,10.640043,-4.3258666991619066e-05
train,10.65,10.6495905,0.000409507751465199
train,10.66,10.659622,0.0003778076171876421
train,10.47,10.471689,-0.001689224243163423
train,10.61,10.609449,0.0005506134033197441
train,10.61,10.609329,0.0006707763671869316
train,10.47,10.470914,-0.0009138870239251418
train,10.55,10.54979,0.0002096176147468043
train,10.44,10.439143,0.0008568191528315339
train,10.43,10.430869,-0.000869102478027628
train,10.35,10.350114,-0.00011386871337926152
train,10.46,10.459951,4.859924316491515e-05
train,10.48,10.479395,0.0006050872802738638
train,9.65,9.651287,-0.0012870788574215197
train,10.2,10.199855,0.0001451492309563207
train,10.01,10.009764,0.00023628234863259934
train,10.0,10.000113,-0.0001125335693359375
train,10.07,10.071146,-0.0011460113525387783
train,10.18,10.1795,0.000500373840331747
train,10.47,10.470191,-0.00019100189208920426
train,10.6,10.599637,0.0003629684448238635
train,10.75,10.749734,0.00026607513427734375
train,10.81,10.809759,0.00024085998535205988
train,10.57,10.57053,-0.0005299377441403408
train,10.71,10.709913,8.674621582116515e-05
train,10.67,10.670231,-0.00023086547851569605
train,10.74,10.73939,0.0006096267700197444
train,10.59,10.590404,-0.00040355682373061086
train,10.74,10.739975,2.5024414062713163e-05
train,10.83,10.830261,-0.00026123046874992895
train,10.96,10.959794,0.0002059555053719464
train,11.17,11.169932,6.76345825194602e-05
train,11.37,11.370326,-0.00032604217529375035
train,11.63,11.629682,0.00031841278076250035
train,11.8,11.798275,0.0017250061035163355
train,11.71,11.710453,-0.00045303344726477235
train,12.08,12.080406,-0.00040618896484367895
train,12.15,12.150175,-0.00017509460449183223
train,12.29,12.289704,0.0002956771850577411
train,12.1,12.10129,-0.0012897491455081678
train,12.0,12.000142,-0.00014209747314453125
train,12.27,12.269428,0.0005717468261714487
train,12.27,12.270146,-0.00014636993408245758
train,12.43,12.428643,0.0013567733764645595
train,12.23,12.229732,0.0002684402465824576
train,12.05,12.049989,1.1253356934304293e-05
train,12.19,12.1903715,-0.00037151336669971613
train,12.22,12.219441,0.0005585861206061082
test,12.17,12.213925,-0.04392536163330085
test,12.33,12.214585,0.11541469573974616
test,12.54,12.28934,0.25065998077392493
test,12.38,12.28934,0.09065998077392656
test,12.32,12.200079,0.11992103576660185
test,12.32,12.19863,0.12136966705322294
test,12.31,12.143646,0.1663537597656255
test,12.36,12.208795,0.15120540618896428
test,12.35,12.198361,0.15163860321044886
test,12.46,12.214329,0.24567123413086023
test,12.34,12.290099,0.049900856018066264
test,12.58,12.244079,0.3359213638305665
test,12.54,12.28934,0.25065998077392493
test,12.78,12.28934,0.49065998077392514
test,12.74,12.28934,0.450659980773926
test,13.02,12.292468,0.7275319290161129
test,13.31,12.246448,1.0635524368286138
test,13.31,12.2923,1.0176997756958013
test,13.46,12.357243,1.1027574157714852
test,13.62,12.357243,1.2627574157714836
