ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,20250626,3946.0195,3953.1603,3964.482,3945.2589,3960.0662,-14.0467,-0.3547,165316263.0,328102847.496
000300.SH,20250625,3960.0662,3907.0682,3963.0371,3902.1771,3904.0342,56.032,1.4352,187213671.0,361727254.624
000300.SH,20250624,3904.0342,3862.3876,3914.1579,3862.3876,3857.9016,46.1326,1.1958,163656188.0,294228720.613
000300.SH,20250623,3857.9016,3831.1703,3867.5896,3827.0829,3846.6443,11.2573,0.2927,133800892.0,232482215.85
000300.SH,20250620,3846.6443,3839.7833,3856.4799,3839.7833,3843.0912,3.5531,0.0925,118151020.0,213522822.875
000300.SH,20250619,3843.0912,3870.049,3872.9425,3834.9512,3874.9708,-31.8796,-0.8227,130280658.0,234840180.806
000300.SH,20250618,3874.9708,3871.6502,3881.346,3854.6575,3870.3786,4.5922,0.1186,127528621.0,230553858.264
000300.SH,20250617,3870.3786,3875.1768,3880.4156,3860.409,3873.7951,-3.4165,-0.0882,122342526.0,220399818.949
000300.SH,20250616,3873.7951,3853.6193,3876.1704,3853.6193,3864.1822,9.6129,0.2488,137341835.0,246860982.863
000300.SH,20250613,3864.1822,3881.4923,3889.1602,3853.8186,3892.1992,-28.017,-0.7198,172539536.0,309172346.18
000300.SH,20250612,3892.1992,3885.5196,3900.0408,3870.3838,3894.6252,-2.426,-0.0623,133998697.0,260239581.458
000300.SH,20250611,3894.6252,3870.6719,3911.6107,3870.6719,3865.4652,29.16,0.7544,142414772.0,257217704.405
000300.SH,20250610,3865.4652,3887.5512,3897.4573,3850.4663,3885.2459,-19.7807,-0.5091,145563859.0,263647551.795
000300.SH,20250609,3885.2459,3877.7977,3894.6517,3871.9917,3873.9841,11.2618,0.2907,136306293.0,262023668.466
000300.SH,20250606,3873.9841,3878.1027,3889.4557,3869.3871,3877.5557,-3.5716,-0.0921,110987971.0,202034736.311
000300.SH,20250605,3877.5557,3872.6373,3883.1345,3861.272,3868.7429,8.8128,0.2278,122878184.0,231749275.335
000300.SH,20250604,3868.7429,3855.4878,3875.8569,3855.4878,3852.0127,16.7302,0.4343,116803873.0,211736178.154
000300.SH,20250603,3852.0127,3833.4584,3863.2952,3832.7202,3840.2323,11.7804,0.3068,131403090.0,226782772.063
000300.SH,20250530,3840.2323,3850.493,3858.6128,3829.2542,3858.6998,-18.4675,-0.4786,111672228.0,199389751.071
000300.SH,20250529,3858.6998,3838.0092,3869.7909,3831.4577,3836.2366,22.4632,0.5856,108471886.0,209459602.501
000300.SH,20250528,3836.2366,3843.0747,3849.736,3833.9582,3839.3969,-3.1603,-0.0823,89031026.0,162496372.728
000300.SH,20250527,3839.3969,3857.6271,3865.4291,3834.8455,3860.1067,-20.7098,-0.5365,98572425.0,178466763.541
000300.SH,20250526,3860.1067,3875.7891,3884.537,3849.0384,3882.2741,-22.1674,-0.571,109601207.0,208876792.149
000300.SH,20250523,3882.2741,3910.3739,3931.5514,3882.2741,3913.8651,-31.591,-0.8072,120277419.0,232945378.295
000300.SH,20250522,3913.8651,3912.6007,3923.0195,3903.0898,3916.3807,-2.5156,-0.0642,107597052.0,197511410.271
000300.SH,20250521,3916.3807,3899.4365,3928.6339,3899.4365,3898.1705,18.2102,0.4671,109791343.0,217037739.435
000300.SH,20250520,3898.1705,3883.1024,3911.4737,3881.7436,3877.1453,21.0252,0.5423,104885234.0,201636702.522
000300.SH,20250519,3877.1453,3882.5677,3885.5889,3866.5695,3889.0854,-11.9401,-0.307,98643414.0,184888170.554
000300.SH,20250516,3889.0854,3898.6662,3903.8528,3874.8619,3907.1992,-18.1138,-0.4636,118405345.0,208835664.039
000300.SH,20250515,3907.1992,3934.0273,3936.4653,3904.9068,3943.2108,-36.0116,-0.9133,138081749.0,241464943.554
000300.SH,20250514,3943.2108,3894.8386,3960.5228,3890.6504,3896.2583,46.9525,1.2051,172033779.0,319465226.851
000300.SH,20250513,3896.2583,3915.5924,3915.5924,3890.6855,3890.6096,5.6487,0.1452,147320299.0,267586397.72
000300.SH,20250512,3890.6096,3866.5305,3890.7342,3859.0346,3846.1566,44.453,1.1558,153332460.0,296122947.808
000300.SH,20250509,3846.1566,3848.6187,3853.6632,3836.5349,3852.8963,-6.7397,-0.1749,119389526.0,216697939.672
000300.SH,20250508,3852.8963,3820.5481,3867.3313,3816.2642,3831.627,21.2693,0.5551,124959833.0,246987280.588
000300.SH,20250507,3831.627,3861.5767,3863.6776,3814.9868,3808.5424,23.0846,0.6061,161172299.0,286010735.453
000300.SH,20250506,3808.5424,3794.3757,3809.0939,3782.777,3770.5705,37.9719,1.0071,158520459.0,267937090.757
000300.SH,20250430,3770.5705,3775.8306,3787.5639,3768.7573,3775.0767,-4.5062,-0.1194,143681658.0,244820462.218
000300.SH,20250429,3775.0767,3776.0025,3785.3157,3768.0311,3781.6188,-6.5421,-0.173,111514694.0,197462744.363
000300.SH,20250428,3781.6188,3786.3867,3792.0082,3772.8029,3786.9937,-5.3749,-0.1419,125145091.0,210635318.523
000300.SH,20250425,3786.9937,3792.0838,3801.5765,3780.7772,3784.3574,2.6363,0.0697,124591133.0,220535052.619
000300.SH,20250424,3784.3574,3787.459,3807.2599,3775.207,3786.8824,-2.525,-0.0667,117164560.0,205483051.375
000300.SH,20250423,3786.8824,3803.4295,3807.9536,3780.5183,3783.9522,2.9302,0.0774,131986870.0,247117386.122
000300.SH,20250422,3783.9522,3780.1122,3799.2295,3778.0791,3784.8806,-0.9284,-0.0245,125688257.0,210200698.794
000300.SH,20250421,3784.8806,3768.1421,3790.1782,3763.1383,3772.523,12.3576,0.3276,121355730.0,208085677.382
000300.SH,20250418,3772.523,3760.0425,3782.0443,3754.4072,3772.2221,0.3009,0.008,102948509.0,173109384.097
000300.SH,20250417,3772.2221,3755.0862,3779.1253,3749.504,3772.8204,-0.5983,-0.0159,122371002.0,209012323.066
000300.SH,20250416,3772.8204,3757.8757,3775.1661,3721.6025,3761.2348,11.5856,0.308,156359006.0,261711094.769
000300.SH,20250415,3761.2348,3756.4788,3764.486,3737.8495,3759.1422,2.0926,0.0557,134006040.0,228604621.376
000300.SH,20250414,3759.1422,3772.0407,3776.6344,3754.033,3750.5167,8.6255,0.23,164462403.0,292571297.039
000300.SH,20250411,3750.5167,3730.3148,3762.3653,3708.4617,3735.1151,15.4016,0.4123,168759691.0,318535141.904
000300.SH,20250410,3735.1151,3749.1262,3756.1386,3708.8194,3686.7943,48.3208,1.3106,227252227.0,403842564.856
000300.SH,20250409,3686.7943,3606.1036,3686.7943,3587.3368,3650.759,36.0353,0.9871,262305708.0,455031069.29
000300.SH,20250408,3650.759,3597.9859,3650.759,3583.8746,3589.4406,61.3184,1.7083,280197312.0,464021087.838
000300.SH,20250407,3589.4406,3675.2017,3707.7771,3514.1165,3861.5034,-272.0628,-7.0455,312578586.0,512971787.745
000300.SH,20250403,3861.5034,3843.4177,3883.7025,3843.4177,3884.3858,-22.8824,-0.5891,142599789.0,263684681.545
000300.SH,20250402,3884.3858,3884.4181,3900.4949,3877.1599,3887.6841,-3.2983,-0.0848,113043175.0,198267515.342
000300.SH,20250401,3887.6841,3892.7794,3905.2622,3882.4045,3887.3056,0.3785,0.0097,140380274.0,246041674.67
000300.SH,20250331,3887.3056,3905.9815,3928.4482,3872.403,3915.1662,-27.8606,-0.7116,166798523.0,268480316.572
000300.SH,20250328,3915.1662,3930.7763,3934.2336,3907.384,3932.4117,-17.2455,-0.4385,126356214.0,213379194.289
000300.SH,20250327,3932.4117,3911.3841,3952.9852,3903.652,3919.3566,13.0551,0.3331,126793738.0,232173613.774
000300.SH,20250326,3919.3566,3930.2073,3942.026,3916.8607,3932.2951,-12.9385,-0.329,131164187.0,220943164.486
000300.SH,20250325,3932.2951,3937.8975,3946.3574,3921.5287,3934.8486,-2.5535,-0.0649,140475399.0,239246310.986
000300.SH,20250324,3934.8486,3916.1136,3938.1826,3907.1999,3914.6956,20.153,0.5148,152234674.0,266051442.613
000300.SH,20250321,3914.6956,3966.5146,3983.1476,3904.7674,3974.9918,-60.2962,-1.5169,165905294.0,309348613.935
000300.SH,20250320,3974.9918,4011.0588,4012.0416,3969.9259,4010.168,-35.1762,-0.8772,133754670.0,260020676.826
000300.SH,20250319,4010.168,4004.8251,4025.299,3989.512,4007.7229,2.4451,0.061,144419428.0,286075300.795
000300.SH,20250318,4007.7229,4011.7794,4016.873,3995.9602,3996.7876,10.9353,0.2736,140208496.0,292739319.545
000300.SH,20250317,3996.7876,4020.6402,4021.7278,3992.2563,4006.5567,-9.7691,-0.2438,162202911.0,318904417.418
000300.SH,20250314,4006.5567,3919.6159,4014.1586,3919.6159,3911.5793,94.9774,2.4281,216139003.0,450895278.803
000300.SH,20250313,3911.5793,3925.7439,3939.2854,3897.3758,3927.2315,-15.6522,-0.3986,156536443.0,295173112.58
000300.SH,20250312,3927.2315,3946.8623,3953.6125,3921.4736,3941.4157,-14.1842,-0.3599,156732190.0,309627267.365
000300.SH,20250311,3941.4157,3890.4305,3941.4157,3889.4298,3928.8018,12.6139,0.3211,144754402.0,287480453.12
000300.SH,20250310,3928.8018,3945.5795,3949.1448,3905.127,3944.0143,-15.2125,-0.3857,152765232.0,292574987.481
000300.SH,20250307,3944.0143,3944.9145,3967.0743,3935.0464,3956.2369,-12.2226,-0.3089,166732375.0,340626700.286
000300.SH,20250306,3956.2369,3923.3827,3964.4942,3917.0833,3902.5706,53.6663,1.3752,193960915.0,397419427.643
000300.SH,20250305,3902.5706,3887.7992,3906.4214,3877.0188,3885.2208,17.3498,0.4466,158652751.0,290860484.505
000300.SH,20250304,3885.2208,3865.9939,3890.4235,3855.7254,3888.4738,-3.253,-0.0837,149850967.0,297739246.802
000300.SH,20250303,3888.4738,3899.6962,3930.0048,3872.5872,3890.0487,-1.5749,-0.0405,177623166.0,356057735.014
000300.SH,20250228,3890.0487,3950.1866,3972.4813,3886.3994,3968.1159,-78.0672,-1.9674,198104147.0,420308043.45
000300.SH,20250227,3968.1159,3961.0635,3973.9323,3933.4611,3959.9413,8.1746,0.2064,202887963.0,428272792.668
000300.SH,20250226,3959.9413,3931.842,3960.3298,3925.3664,3925.6505,34.2908,0.8735,191062501.0,386458193.763
000300.SH,20250225,3925.6505,3933.636,3955.4336,3915.6527,3969.7169,-44.0664,-1.1101,178108580.0,377981451.25
000300.SH,20250224,3969.7169,3972.4831,3995.9456,3949.2309,3978.444,-8.7271,-0.2194,220810618.0,455088749.685
000300.SH,20250221,3978.444,3938.0518,3981.048,3927.7874,3928.8959,49.5481,1.2611,227400330.0,504645493.577
000300.SH,20250220,3928.8959,3934.6503,3940.678,3916.1772,3940.1602,-11.2643,-0.2859,163895236.0,325972429.363
000300.SH,20250219,3940.1602,3906.2201,3943.6742,3904.1455,3912.7829,27.3773,0.6997,182829517.0,363680372.563
000300.SH,20250218,3912.7829,3942.5761,3965.4232,3901.8675,3947.3983,-34.6154,-0.8769,209425101.0,400186229.941
