ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,RSI,turnover_rate,volatility,MACD,Signal,Hist,revenue,net_profit,revenue_growth,net_profit_growth
001289.SZ,1970-01-01 00:00:00.020250530,16.5,16.54,16.39,16.41,16.48,-0.07,-0.4248,29034.34,47696.211,16.49,16.456,16.2845,70.17543859649113,0.6087347273769818,0.0,0.1287642699551661,0.11871341558791648,0.010050854367249618,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250529,16.63,16.65,16.37,16.48,16.48,0.0,0.0,37386.87,61469.513,16.476,16.469,16.3105,69.36936936936925,0.6082180934148609,0.006426438523304106,0.12555854247917253,0.1200824409661677,0.00547610151300483,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250528,16.52,16.6,16.43,16.48,16.53,-0.05,-0.3025,24019.75,39612.232,16.464000000000002,16.486,16.327499999999997,63.04347826086955,0.6063720418480837,0.006016454323772762,0.1216160660523471,0.12038916598340359,0.0012269000689435067,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250527,16.57,16.69,16.44,16.53,16.56,-0.03,-0.1812,28438.54,47090.741,16.472,16.498,16.3435,61.363636363636395,0.6039093757305709,0.005986078395500498,0.12112989715893718,0.12053731221851031,0.0005925849404268685,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250526,16.53,16.56,16.37,16.56,16.57,-0.01,-0.0604,35744.97,58900.702,16.492,16.51,16.366,71.24999999999979,0.6068683188190185,0.00574452859469855,0.12176176030901331,0.12078220183661093,0.0009795584724023865,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250523,16.78,16.88,16.56,16.57,16.83,-0.26,-1.5449,41408.0,69158.652,16.524,16.506999999999998,16.398500000000002,66.17647058823505,0.5987392582492788,0.004845006320676038,0.1216669321752093,0.12095914790433061,0.0007077842708786836,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250522,17.1,17.11,16.79,16.83,16.98,-0.15,-0.8834,43209.1,72901.309,16.594,16.535000000000004,16.4425,78.8888888888888,0.5927067784201241,0.005728599530494915,0.14094685962393783,0.12495669024825207,0.01599016937568576,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250521,17.06,17.36,16.98,16.98,17.05,-0.07,-0.4106,53439.05,91556.872,16.694,16.579,16.488999999999997,79.99999999999991,0.5836705517855613,0.0058444895721485885,0.16641179583449173,0.1332477113655,0.03316408446899172,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250520,16.91,17.05,16.85,17.05,16.98,0.07,0.4122,37619.85,63856.97,16.798,16.635,16.529500000000002,80.80808080808072,0.5891267625131602,0.005461121512448761,0.19005057154550187,0.1446082834015004,0.045442288144001475,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250519,16.7,16.99,16.68,16.98,16.65,0.33,1.982,51647.8,87187.338,16.882,16.687,16.561999999999998,71.111111111111,0.5923773013920898,0.0055980683701975145,0.20082111580289563,0.15585084988177944,0.04497026592111619,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250516,16.85,16.9,16.63,16.65,16.9,-0.25,-1.4793,54949.76,91881.181,16.898,16.711000000000002,16.5835,54.237288135593126,0.5980523911637575,0.007143958297046661,0.18064623035438387,0.16080992597630034,0.019836304378083536,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250515,17.01,17.25,16.9,16.9,17.06,-0.16,-0.9379,57045.91,97237.806,16.912,16.752999999999997,16.610999999999997,62.67605633802813,0.5866638949052388,0.007642615605190129,0.18272406961433063,0.1651927547039064,0.01753131491042423,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250514,17.1,17.11,16.83,17.06,17.1,-0.04,-0.2339,53585.84,90931.539,16.927999999999997,16.811,16.6485,68.62745098039215,0.5892987250551208,0.007767069053360869,0.19503321354033432,0.17116084647119198,0.023872367069142336,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250513,16.95,17.1,16.9,17.1,17.03,0.07,0.411,60653.06,103280.29,16.938,16.868000000000002,16.683,70.77922077922071,0.5872665539571975,0.007714199757269603,0.20564541218845633,0.17805775961464487,0.02758765257381146,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250512,17.15,17.18,16.8,17.03,17.13,-0.1,-0.5838,75545.99,128146.595,16.948,16.915,16.7125,69.87179487179483,0.5895278762576563,0.00783742979290576,0.2060322297938093,0.18365265365047775,0.022379576143331553,,,0.0,0.0
