ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300059.SZ,20250627,23.16,24.15,23.0,23.04,23.13,-0.09,-0.3891,8263584.3,19429214.506
300059.SZ,20250626,23.52,23.78,23.05,23.13,24.0,-0.87,-3.625,9530583.87,22290289.804
300059.SZ,20250625,21.89,24.44,21.81,24.0,21.81,2.19,10.0413,14426468.28,33234532.647
300059.SZ,20250624,21.0,22.1,20.93,21.81,20.93,0.88,4.2045,6091340.35,13215275.33
300059.SZ,20250623,20.6,21.02,20.52,20.93,20.71,0.22,1.0623,1997780.62,4158272.934
300059.SZ,20250620,21.0,21.05,20.69,20.71,20.93,-0.22,-1.0511,1639366.99,3415733.488
300059.SZ,20250619,21.45,21.46,20.86,20.93,21.5,-0.57,-2.6512,2626455.06,5541018.264
300059.SZ,20250618,21.63,21.68,21.3,21.5,21.71,-0.21,-0.9673,1990720.84,4273003.773
300059.SZ,20250617,21.75,21.78,21.58,21.71,21.73,-0.02,-0.092,1999927.38,4330488.659
300059.SZ,20250616,21.33,21.77,21.33,21.73,21.33,0.4,1.8753,2694927.94,5827122.593
300059.SZ,20250613,21.48,21.64,21.27,21.33,21.65,-0.32,-1.4781,3089201.38,6617099.36
300059.SZ,20250612,21.31,22.08,21.3,21.65,21.49,0.16,0.7445,4027992.29,8732900.047
300059.SZ,20250611,21.05,21.9,20.99,21.49,20.97,0.52,2.4797,4647896.61,10007737.342
300059.SZ,20250610,21.39,21.49,20.77,20.97,21.46,-0.49,-2.2833,2956596.08,6240789.063
300059.SZ,20250609,21.01,21.58,21.0,21.46,20.89,0.57,2.7286,3942525.43,8438986.734
300059.SZ,20250606,21.13,21.19,20.87,20.89,21.13,-0.24,-1.1358,1707078.33,3583426.089
300059.SZ,20250605,20.97,21.26,20.86,21.13,20.94,0.19,0.9074,2383023.87,5011383.196
300059.SZ,20250604,20.65,21.13,20.57,20.94,20.66,0.28,1.3553,2470883.7,5167756.33
300059.SZ,20250603,20.48,20.88,20.44,20.66,20.62,0.04,0.194,1681363.76,3475602.967
300059.SZ,20250530,20.74,20.75,20.52,20.62,20.85,-0.23,-1.1031,1558466.15,3214187.489
300059.SZ,20250529,20.54,20.97,20.5,20.85,20.5,0.35,1.7073,2179626.33,4534311.134
300059.SZ,20250528,20.75,20.78,20.47,20.5,20.69,-0.19,-0.9183,1320526.65,2719571.593
