ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601377.SH,20250627,6.23,6.41,6.21,6.22,6.24,-0.02,-0.3205,1420639.48,894934.551
601377.SH,20250626,6.36,6.37,6.22,6.24,6.36,-0.12,-1.8868,1543825.93,967893.2
601377.SH,20250625,6.1,6.38,6.09,6.36,6.1,0.26,4.2623,2685601.43,1677895.741
601377.SH,20250624,6.0,6.14,5.99,6.1,5.99,0.11,1.8364,1452029.78,884143.851
601377.SH,20250623,5.88,6.0,5.88,5.99,5.91,0.08,1.3536,726646.43,432234.112
601377.SH,20250620,5.91,5.95,5.89,5.91,5.9,0.01,0.1695,571705.31,338414.667
601377.SH,20250619,6.0,6.02,5.88,5.9,6.01,-0.11,-1.8303,922972.0,547479.363
601377.SH,20250618,6.06,6.08,5.98,6.01,6.09,-0.08,-1.3136,878443.79,527865.558
601377.SH,20250617,6.06,6.09,6.03,6.09,6.08,0.01,0.1645,951145.69,575917.614
601377.SH,20250616,6.01,6.09,6.01,6.08,6.03,0.05,0.8292,1210750.35,732133.334
601377.SH,20250613,6.15,6.15,6.01,6.03,6.16,-0.13,-2.1104,1933986.63,1171678.524
601377.SH,20250612,6.22,6.26,6.1,6.16,6.47,-0.31,-4.7913,3889645.16,2401454.884
601377.SH,20250611,5.95,6.51,5.93,6.47,5.92,0.55,9.2905,5313759.29,3378402.747
601377.SH,20250610,5.93,5.98,5.9,5.92,5.93,-0.01,-0.1686,597560.09,354773.811
601377.SH,20250609,5.94,5.98,5.92,5.93,5.89,0.04,0.6791,386532.92,229779.888
601377.SH,20250606,5.93,5.94,5.88,5.89,5.92,-0.03,-0.5068,292201.8,172467.01
601377.SH,20250605,5.91,5.95,5.88,5.92,5.91,0.01,0.1692,560043.67,331350.035
601377.SH,20250604,5.83,5.93,5.81,5.91,5.83,0.08,1.3722,556747.25,327700.923
601377.SH,20250603,5.74,5.85,5.72,5.83,5.75,0.08,1.3913,429768.53,249473.662
601377.SH,20250530,5.73,5.76,5.71,5.75,5.74,0.01,0.1742,276643.25,158737.12
601377.SH,20250529,5.7,5.76,5.69,5.74,5.7,0.04,0.7018,247232.1,141902.488
601377.SH,20250528,5.72,5.73,5.68,5.7,5.72,-0.02,-0.3497,193894.37,110491.225
601377.SH,20250527,5.72,5.73,5.69,5.72,5.71,0.01,0.1751,224763.75,128297.709
