ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002422.SZ,20250627,35.0,36.08,34.9,35.82,34.98,0.84,2.4014,153608.67,548816.758
002422.SZ,20250626,34.64,35.16,34.18,34.98,34.85,0.13,0.373,115654.0,402167.922
002422.SZ,20250625,35.08,35.52,34.35,34.85,35.05,-0.2,-0.5706,157032.3,546135.702
002422.SZ,20250624,34.6,35.45,34.35,35.05,34.6,0.45,1.3006,162593.5,568821.211
002422.SZ,20250623,33.86,34.85,33.44,34.6,33.99,0.61,1.7946,169388.64,579666.245
002422.SZ,20250620,34.64,34.8,33.88,33.99,34.64,-0.65,-1.8764,148964.43,508415.593
002422.SZ,20250619,35.13,35.59,34.51,34.64,35.12,-0.48,-1.3667,125871.68,439522.339
002422.SZ,20250618,34.94,35.52,34.85,35.12,35.15,-0.03,-0.0853,103777.6,364216.993
002422.SZ,20250617,36.3,36.5,35.01,35.15,35.98,-0.83,-2.3068,178599.14,634365.074
002422.SZ,20250616,36.6,36.75,35.84,35.98,36.78,-0.8,-2.1751,216074.65,781218.644
002422.SZ,20250613,38.7,38.76,36.68,36.78,38.72,-1.94,-5.0103,292070.89,1087569.103
002422.SZ,20250612,37.81,39.79,37.79,39.22,37.99,1.23,3.2377,207048.59,804143.696
002422.SZ,20250611,38.8,39.26,37.78,37.99,38.9,-0.91,-2.3393,165387.82,633399.227
002422.SZ,20250610,38.42,39.13,38.11,38.9,38.41,0.49,1.2757,165320.99,639519.433
002422.SZ,20250609,37.52,40.0,37.29,38.41,37.47,0.94,2.5087,218178.1,845619.847
002422.SZ,20250606,37.42,37.95,37.2,37.47,37.75,-0.28,-0.7417,125596.53,470447.478
002422.SZ,20250605,39.54,39.61,37.57,37.75,39.72,-1.97,-4.9597,186505.02,714212.568
002422.SZ,20250604,38.2,40.73,37.83,39.72,38.2,1.52,3.9791,200008.56,792665.698
002422.SZ,20250603,37.79,38.78,37.38,38.2,38.56,-0.36,-0.9336,141453.24,538715.477
002422.SZ,20250530,37.75,38.99,37.73,38.56,37.95,0.61,1.6074,174849.18,673652.498
002422.SZ,20250529,37.09,38.64,36.51,37.95,37.0,0.95,2.5676,218403.0,823359.102
002422.SZ,20250528,37.16,37.46,36.64,37.0,37.23,-0.23,-0.6178,113860.47,421404.314
002422.SZ,20250527,37.4,38.06,37.01,37.23,37.4,-0.17,-0.4545,169826.25,634237.826
002422.SZ,20250526,39.35,39.49,37.2,37.4,39.35,-1.95,-4.9555,211825.16,799158.14
002422.SZ,20250523,38.0,40.8,38.0,39.35,38.07,1.28,3.3622,244083.06,968184.784
002422.SZ,20250522,37.8,38.97,37.01,38.07,37.88,0.19,0.5016,185628.87,704924.794
002422.SZ,20250521,36.55,39.77,36.4,37.88,36.9,0.98,2.6558,292882.89,1115529.523
002422.SZ,20250520,34.96,37.1,34.96,36.9,34.96,1.94,5.5492,263165.75,964012.344
002422.SZ,20250519,34.3,35.19,33.7,34.96,35.02,-0.06,-0.1713,172722.77,595591.58
002422.SZ,20250516,35.0,35.07,33.1,35.02,34.9,0.12,0.3438,255647.6,875461.756
002422.SZ,20250515,34.0,35.76,33.72,34.9,33.89,1.01,2.9802,251799.24,880652.933
002422.SZ,20250514,33.55,34.45,33.25,33.89,33.86,0.03,0.0886,116093.38,393587.228
002422.SZ,20250513,33.62,34.19,33.5,33.86,33.3,0.56,1.6817,161256.0,545039.509
002422.SZ,20250512,34.0,34.0,32.52,33.3,34.14,-0.84,-2.4605,242061.77,796951.847
002422.SZ,20250509,34.05,34.77,34.02,34.14,34.02,0.12,0.3527,118460.94,406306.006
002422.SZ,20250508,34.55,34.65,33.97,34.02,34.65,-0.63,-1.8182,134770.17,460893.219
002422.SZ,20250507,35.91,36.09,34.35,34.65,35.75,-1.1,-3.0769,173618.35,606682.021
002422.SZ,20250506,36.29,36.46,35.45,35.75,36.21,-0.46,-1.2704,242749.86,871901.225
002422.SZ,20250430,31.94,36.21,31.81,36.21,32.92,3.29,9.9939,419847.99,1445712.889
002422.SZ,20250429,32.76,33.38,32.25,32.92,33.12,-0.2,-0.6039,128532.18,422521.92
002422.SZ,20250428,32.93,33.4,32.65,33.12,33.14,-0.02,-0.0604,137670.94,456126.547
002422.SZ,20250425,35.43,35.55,32.81,33.14,35.48,-2.34,-6.5953,315142.77,1057957.031
002422.SZ,20250424,34.4,35.52,34.3,35.48,34.82,0.66,1.8955,151387.92,530463.216
002422.SZ,20250423,35.51,35.85,34.71,34.82,35.71,-0.89,-2.4923,156052.2,546745.397
002422.SZ,20250422,35.29,36.15,35.01,35.71,35.32,0.39,1.1042,146578.19,523769.876
002422.SZ,20250421,33.57,35.5,33.28,35.32,33.93,1.39,4.0967,169581.4,589235.768
002422.SZ,20250418,34.17,34.73,33.7,33.93,34.18,-0.25,-0.7314,84375.92,287138.407
002422.SZ,20250417,34.35,34.63,33.97,34.18,34.63,-0.45,-1.2995,125760.71,430342.108
002422.SZ,20250416,34.56,35.35,34.0,34.63,34.85,-0.22,-0.6313,125903.46,435785.915
002422.SZ,20250415,35.11,35.59,34.55,34.85,35.2,-0.35,-0.9943,135490.05,471480.519
002422.SZ,20250414,35.51,36.32,35.11,35.2,35.68,-0.48,-1.3453,215618.45,769640.598
002422.SZ,20250411,33.97,35.88,33.94,35.68,34.55,1.13,3.2706,221377.58,773876.859
002422.SZ,20250410,33.46,35.25,33.46,34.55,33.3,1.25,3.7538,255198.18,881508.433
