ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600588.SH,20250627,13.14,13.55,13.01,13.1,13.16,-0.06,-0.4559,422447.19,559823.3
600588.SH,20250626,13.14,13.29,13.08,13.16,13.15,0.01,0.076,365719.01,482403.272
600588.SH,20250625,12.91,13.17,12.82,13.15,12.86,0.29,2.2551,432553.41,563950.179
600588.SH,20250624,12.62,12.9,12.57,12.86,12.72,0.14,1.1006,329400.8,421907.838
600588.SH,20250623,12.3,12.95,12.27,12.72,12.4,0.32,2.5806,311059.95,392137.95
600588.SH,20250620,12.69,12.78,12.4,12.4,12.73,-0.33,-2.5923,261350.87,327192.047
600588.SH,20250619,12.91,13.02,12.67,12.73,12.91,-0.18,-1.3943,236994.38,303763.368
600588.SH,20250618,13.0,13.05,12.85,12.91,13.01,-0.1,-0.7686,194106.76,250833.946
600588.SH,20250617,13.04,13.12,12.96,13.01,13.06,-0.05,-0.3828,192405.02,250466.866
600588.SH,20250616,12.96,13.17,12.91,13.06,13.07,-0.01,-0.0765,247887.76,323569.114
600588.SH,20250613,13.36,13.36,12.95,13.07,13.31,-0.24,-1.8032,388017.69,507659.881
600588.SH,20250612,13.43,13.53,13.29,13.31,13.52,-0.21,-1.5533,316442.92,423293.727
600588.SH,20250611,13.6,13.84,13.35,13.52,13.74,-0.22,-1.6012,399697.63,542869.025
600588.SH,20250610,14.44,14.46,13.52,13.74,14.46,-0.72,-4.9793,719661.25,994486.048
600588.SH,20250609,13.75,14.99,13.75,14.46,13.71,0.75,5.4705,850904.96,1229583.746
600588.SH,20250606,13.62,13.8,13.5,13.71,13.62,0.09,0.6608,351672.95,480053.321
600588.SH,20250605,13.26,13.65,13.21,13.62,13.2,0.42,3.1818,500609.01,675704.23
600588.SH,20250604,13.14,13.28,13.06,13.2,13.04,0.16,1.227,210625.71,277753.49
600588.SH,20250603,12.94,13.21,12.8,13.04,13.05,-0.01,-0.0766,180729.93,236522.251
600588.SH,20250530,13.33,13.35,13.04,13.05,13.48,-0.43,-3.1899,298897.32,392337.314
600588.SH,20250529,12.98,13.48,12.96,13.48,12.95,0.53,4.0927,400506.41,531529.817
600588.SH,20250528,13.19,13.21,12.9,12.95,13.15,-0.2,-1.5209,187989.37,244502.922
600588.SH,20250527,13.14,13.18,13.03,13.15,13.19,-0.04,-0.3033,181493.3,237858.267
600588.SH,20250526,12.9,13.26,12.72,13.19,12.92,0.27,2.0898,275240.13,361088.502
600588.SH,20250523,13.2,13.28,12.92,12.92,13.12,-0.2,-1.5244,290363.59,380744.784
600588.SH,20250522,13.15,13.28,13.08,13.12,13.21,-0.09,-0.6813,174230.16,229251.3
600588.SH,20250521,13.35,13.37,13.17,13.21,13.34,-0.13,-0.9745,182569.1,241461.263
600588.SH,20250520,13.26,13.4,13.16,13.34,13.3,0.04,0.3008,202786.51,269728.388
600588.SH,20250519,13.34,13.34,13.01,13.3,13.33,-0.03,-0.2251,254691.3,335952.592
600588.SH,20250516,13.37,13.46,13.27,13.33,13.47,-0.14,-1.0393,285621.82,381068.628
600588.SH,20250515,14.11,14.15,13.4,13.47,14.19,-0.72,-5.074,539356.12,734185.497
600588.SH,20250514,14.08,14.36,14.02,14.19,14.15,0.04,0.2827,375580.97,532774.424
600588.SH,20250513,14.37,14.6,14.05,14.15,14.16,-0.01,-0.0706,512025.25,732740.752
600588.SH,20250512,14.1,14.29,13.92,14.16,13.96,0.2,1.4327,403023.83,568657.759
600588.SH,20250509,14.44,14.62,13.95,13.96,14.5,-0.54,-3.7241,381499.52,538389.44
600588.SH,20250508,14.4,14.83,14.4,14.5,14.51,-0.01,-0.0689,382745.02,558594.153
600588.SH,20250507,14.99,15.05,14.37,14.51,14.76,-0.25,-1.6938,515129.83,754373.243
600588.SH,20250506,14.66,14.98,14.5,14.76,14.59,0.17,1.1652,709793.87,1044238.747
600588.SH,20250430,13.96,14.86,13.78,14.59,13.82,0.77,5.5716,943881.02,1366054.289
600588.SH,20250429,13.62,14.06,13.45,13.82,13.62,0.2,1.4684,518439.02,719540.521
600588.SH,20250428,13.38,13.95,13.32,13.62,13.7,-0.08,-0.5839,469186.22,643290.494
600588.SH,20250425,13.8,14.04,13.57,13.7,13.52,0.18,1.3314,303551.29,417845.676
600588.SH,20250424,13.84,13.9,13.41,13.52,13.83,-0.31,-2.2415,315040.94,428270.529
600588.SH,20250423,13.89,14.18,13.75,13.83,13.75,0.08,0.5818,402795.4,560760.602
600588.SH,20250422,14.14,14.19,13.73,13.75,14.19,-0.44,-3.1008,485882.89,672026.738
600588.SH,20250421,13.5,14.27,13.43,14.19,13.55,0.64,4.7232,615528.26,863066.986
600588.SH,20250418,13.84,13.93,13.48,13.55,13.88,-0.33,-2.3775,312051.1,425269.299
600588.SH,20250417,13.5,14.08,13.41,13.88,13.59,0.29,2.1339,496201.11,689572.972
600588.SH,20250416,13.65,13.74,13.36,13.59,13.77,-0.18,-1.3072,387160.68,523256.478
600588.SH,20250415,13.91,14.01,13.62,13.77,13.9,-0.13,-0.9353,277113.81,381268.183
600588.SH,20250414,13.87,14.15,13.86,13.9,13.79,0.11,0.7977,410371.25,574538.988
600588.SH,20250411,13.67,14.12,13.57,13.79,13.61,0.18,1.3226,450072.95,621477.268
600588.SH,20250410,13.95,14.13,13.55,13.61,13.49,0.12,0.8895,698091.66,962631.984
600588.SH,20250409,12.85,13.54,12.21,13.49,13.1,0.39,2.9771,803125.17,1054720.432
600588.SH,20250408,13.5,13.54,12.67,13.1,13.33,-0.23,-1.7254,937137.77,1213094.33
600588.SH,20250407,13.9,14.12,13.33,13.33,14.81,-1.48,-9.9932,516250.87,697300.139
600588.SH,20250403,14.81,15.08,14.77,14.81,14.99,-0.18,-1.2008,375314.35,560125.121
600588.SH,20250402,15.02,15.13,14.8,14.99,14.87,0.12,0.807,371981.11,556962.899
600588.SH,20250401,15.08,15.21,14.84,14.87,15.06,-0.19,-1.2616,452938.65,678769.48
600588.SH,20250331,14.81,15.17,14.49,15.06,15.42,-0.36,-2.3346,820941.32,1213979.017
600588.SH,20250328,15.46,15.83,15.4,15.42,15.43,-0.01,-0.0648,451319.45,703493.584
600588.SH,20250327,15.71,15.81,15.29,15.43,15.8,-0.37,-2.3418,461204.53,715093.788
600588.SH,20250326,15.56,15.84,15.52,15.8,15.55,0.25,1.6077,516333.44,811164.7
600588.SH,20250325,15.67,16.02,15.51,15.55,15.63,-0.08,-0.5118,620901.27,977501.17
600588.SH,20250324,15.8,15.9,15.32,15.63,15.81,-0.18,-1.1385,611579.38,953582.227
600588.SH,20250321,16.2,16.44,15.72,15.81,16.51,-0.7,-4.2399,804335.84,1285846.917
600588.SH,20250320,16.58,17.04,16.29,16.51,16.61,-0.1,-0.602,760537.83,1266481.28
600588.SH,20250319,17.02,17.22,16.5,16.61,17.14,-0.53,-3.0922,797051.4,1336806.489
600588.SH,20250318,17.2,17.38,16.9,17.14,17.1,0.04,0.2339,688004.49,1179800.716
600588.SH,20250317,17.15,17.32,16.93,17.1,17.36,-0.26,-1.4977,701745.31,1199721.299
600588.SH,20250314,17.35,17.56,16.66,17.36,17.68,-0.32,-1.81,1132838.91,1937675.974
600588.SH,20250313,17.45,18.14,17.05,17.68,17.63,0.05,0.2836,1275319.43,2241864.604
600588.SH,20250312,18.45,18.59,17.63,17.63,17.89,-0.26,-1.4533,1265124.55,2279154.474
600588.SH,20250311,17.65,18.5,17.56,17.89,18.03,-0.14,-0.7765,1569881.43,2825131.733
600588.SH,20250310,19.2,19.51,18.03,18.03,20.0,-1.97,-9.85,2273090.99,4255529.398
600588.SH,20250307,19.44,20.0,18.56,20.0,18.18,1.82,10.011,3530333.09,6899669.475
600588.SH,20250306,17.77,18.18,17.77,18.18,16.53,1.65,9.9819,800717.23,1449867.329
600588.SH,20250305,16.64,16.99,16.06,16.53,16.76,-0.23,-1.3723,1331633.68,2197876.246
600588.SH,20250304,16.2,17.11,15.96,16.76,16.4,0.36,2.1951,1983151.4,3297977.842
600588.SH,20250303,15.77,16.78,15.71,16.4,15.25,1.15,7.541,1982774.0,3263809.939
600588.SH,20250228,15.95,16.24,15.13,15.25,16.08,-0.83,-5.1617,843259.97,1318098.037
600588.SH,20250227,16.44,16.57,15.65,16.08,16.53,-0.45,-2.7223,1108674.51,1776274.763
600588.SH,20250226,16.48,16.73,16.12,16.53,16.47,0.06,0.3643,1042518.79,1711251.998
600588.SH,20250225,16.1,16.99,16.1,16.47,16.78,-0.31,-1.8474,1232374.73,2037299.784
600588.SH,20250224,17.2,18.0,16.53,16.78,17.58,-0.8,-4.5506,1646601.76,2825146.501
600588.SH,20250221,18.04,18.1,16.9,17.58,17.74,-0.16,-0.9019,2326034.96,4099785.389
600588.SH,20250220,16.99,17.95,16.63,17.74,17.25,0.49,2.8406,2485745.87,4265734.915
600588.SH,20250219,17.18,17.5,16.58,17.25,17.1,0.15,0.8772,2248528.8,3829904.581
600588.SH,20250218,17.02,17.99,16.32,17.1,17.53,-0.43,-2.4529,2663063.96,4524102.16
600588.SH,20250217,18.38,19.19,17.32,17.53,18.3,-0.77,-4.2077,3158478.34,5700622.28
600588.SH,20250214,17.15,19.1,16.99,18.3,17.4,0.9,5.1724,3197663.5,5753665.458
600588.SH,20250213,15.48,17.4,15.22,17.4,15.82,1.58,9.9874,2435285.68,4072413.6
600588.SH,20250212,14.66,16.37,14.58,15.82,14.88,0.94,6.3172,2784236.15,4402574.857
600588.SH,20250211,14.2,15.21,13.94,14.88,14.62,0.26,1.7784,2103488.17,3047490.967
600588.SH,20250210,14.23,14.94,13.83,14.62,13.7,0.92,6.7153,2402331.0,3472957.847
600588.SH,20250207,12.32,13.7,12.32,13.7,12.45,1.25,10.0402,1618246.79,2161053.371
600588.SH,20250206,12.0,12.56,11.8,12.45,12.0,0.45,3.75,1246038.74,1525679.599
600588.SH,20250205,11.53,12.0,11.42,12.0,10.91,1.09,9.9908,842744.65,992633.172
600588.SH,20250127,11.39,11.4,10.9,10.91,10.9,0.01,0.0917,840406.18,931096.675
600588.SH,20250124,9.8,10.9,9.72,10.9,9.91,0.99,9.9899,865719.74,914528.168
600588.SH,20250123,10.02,10.34,9.9,9.91,9.94,-0.03,-0.3018,330810.03,335020.493
600588.SH,20250122,9.98,10.03,9.84,9.94,9.98,-0.04,-0.4008,141839.7,140904.313
